date,season,team,player,club,competition,minutes,starts,goals,assists,xg,xa,cards,source_url
2003-06-01,2002-2003,Belgium,Belgium Player 2,Belgium FC,Sample club season,3204,35,2.81,1.0,2.92,0.61,5.55,synthetic://sample-data
2003-06-01,2002-2003,Belgium,Belgium Player 3,Belgium FC,Sample club season,3493,38,0.0,0.01,0.0,1.14,5.16,synthetic://sample-data
2003-06-01,2002-2003,Belgium,Belgium Player 4,Belgium FC,Sample club season,2079,23,0.0,1.0,0.41,1.57,4.52,synthetic://sample-data
2003-06-01,2002-2003,Belgium,Belgium Player 5,Belgium FC,Sample club season,2054,22,2.22,0.57,0.63,0.34,2.97,synthetic://sample-data
2003-06-01,2002-2003,Belgium,Belgium Player 6,Belgium FC,Sample club season,1187,13,4.99,3.55,4.35,3.85,2.14,synthetic://sample-data
2003-06-01,2002-2003,Belgium,Belgium Player 7,Belgium FC,Sample club season,770,8,0.48,2.4,0.79,2.24,0.0,synthetic://sample-data
2003-06-01,2002-2003,Belgium,Belgium Player 8,Belgium FC,Sample club season,727,8,3.52,1.91,3.0,1.92,0.31,synthetic://sample-data
2003-06-01,2002-2003,Brazil,Brazil Player 1,Brazil FC,Sample club season,2265,25,2.28,1.02,2.7,1.21,1.72,synthetic://sample-data
2003-06-01,2002-2003,Brazil,Brazil Player 2,Brazil FC,Sample club season,2385,26,2.05,1.13,0.85,0.94,4.64,synthetic://sample-data
2003-06-01,2002-2003,Brazil,Brazil Player 3,Brazil FC,Sample club season,1809,20,4.37,3.28,4.33,3.81,6.99,synthetic://sample-data
2003-06-01,2002-2003,Brazil,Brazil Player 4,Brazil FC,Sample club season,2330,25,1.77,0.69,1.63,0.06,1.98,synthetic://sample-data
2003-06-01,2002-2003,Brazil,Brazil Player 5,Brazil FC,Sample club season,2221,24,1.64,1.83,2.23,1.57,3.71,synthetic://sample-data
2003-06-01,2002-2003,Brazil,Brazil Player 6,Brazil FC,Sample club season,1052,11,4.63,2.85,4.16,3.24,1.79,synthetic://sample-data
2003-06-01,2002-2003,Brazil,Brazil Player 7,Brazil FC,Sample club season,894,9,6.53,4.54,5.84,4.22,1.62,synthetic://sample-data
2003-06-01,2002-2003,Brazil,Brazil Player 8,Brazil FC,Sample club season,1158,12,5.22,4.46,4.65,4.4,2.37,synthetic://sample-data
2003-06-01,2002-2003,Cameroon,Cameroon Player 1,Cameroon FC,Sample club season,2677,29,2.81,0.0,2.84,0.0,5.27,synthetic://sample-data
2003-06-01,2002-2003,Cameroon,Cameroon Player 2,Cameroon FC,Sample club season,2453,27,1.41,0.16,1.12,0.54,5.47,synthetic://sample-data
2003-06-01,2002-2003,Cameroon,Cameroon Player 3,Cameroon FC,Sample club season,3241,36,0.26,0.63,0.47,1.04,2.5,synthetic://sample-data
2003-06-01,2002-2003,Cameroon,Cameroon Player 4,Cameroon FC,Sample club season,1917,21,0.0,0.0,0.24,0.84,0.91,synthetic://sample-data
2003-06-01,2002-2003,Cameroon,Cameroon Player 5,Cameroon FC,Sample club season,2739,30,2.09,0.38,0.77,1.28,1.86,synthetic://sample-data
2003-06-01,2002-2003,Cameroon,Cameroon Player 6,Cameroon FC,Sample club season,629,6,3.71,0.57,3.34,0.79,1.97,synthetic://sample-data
2003-06-01,2002-2003,Cameroon,Cameroon Player 7,Cameroon FC,Sample club season,1782,19,2.4,1.01,3.66,1.64,2.41,synthetic://sample-data
2003-06-01,2002-2003,Cameroon,Cameroon Player 8,Cameroon FC,Sample club season,1515,16,1.85,1.06,1.99,1.66,2.71,synthetic://sample-data
2003-06-01,2002-2003,Canada,Canada Player 1,Canada FC,Sample club season,3310,36,2.25,0.25,2.8,0.96,2.33,synthetic://sample-data
2003-06-01,2002-2003,Canada,Canada Player 2,Canada FC,Sample club season,3378,37,0.33,2.18,0.0,3.07,2.41,synthetic://sample-data
2003-06-01,2002-2003,Canada,Canada Player 3,Canada FC,Sample club season,2346,26,0.0,0.0,0.0,0.0,5.51,synthetic://sample-data
2003-06-01,2002-2003,Canada,Canada Player 4,Canada FC,Sample club season,2053,22,1.98,1.38,2.33,2.56,5.54,synthetic://sample-data
2003-06-01,2002-2003,Canada,Canada Player 5,Canada FC,Sample club season,2982,33,0.0,1.2,0.72,1.45,5.07,synthetic://sample-data
2003-06-01,2002-2003,Canada,Canada Player 6,Canada FC,Sample club season,1487,16,2.77,0.84,3.43,1.24,2.47,synthetic://sample-data
2003-06-01,2002-2003,Canada,Canada Player 7,Canada FC,Sample club season,1674,18,0.93,1.25,2.27,2.85,1.45,synthetic://sample-data
2003-06-01,2002-2003,Canada,Canada Player 8,Canada FC,Sample club season,1132,12,0.04,0.79,0.0,0.74,2.6,synthetic://sample-data
2003-06-01,2002-2003,Chile,Chile Player 1,Chile FC,Sample club season,3004,33,1.8,1.41,3.21,2.7,5.5,synthetic://sample-data
2003-06-01,2002-2003,Chile,Chile Player 2,Chile FC,Sample club season,2376,26,4.29,0.12,4.71,0.43,4.66,synthetic://sample-data
2003-06-01,2002-2003,Chile,Chile Player 3,Chile FC,Sample club season,3300,36,0.4,2.34,1.62,2.75,4.71,synthetic://sample-data
2003-06-01,2002-2003,Chile,Chile Player 4,Chile FC,Sample club season,2016,22,0.0,0.0,0.14,0.39,4.35,synthetic://sample-data
2003-06-01,2002-2003,Chile,Chile Player 5,Chile FC,Sample club season,3513,39,0.23,2.38,1.01,2.96,3.55,synthetic://sample-data
2003-06-01,2002-2003,Chile,Chile Player 6,Chile FC,Sample club season,1195,13,3.09,2.67,3.91,2.64,2.44,synthetic://sample-data
2003-06-01,2002-2003,Chile,Chile Player 7,Chile FC,Sample club season,483,5,1.54,1.98,1.32,2.05,4.16,synthetic://sample-data
2003-06-01,2002-2003,Chile,Chile Player 8,Chile FC,Sample club season,839,9,1.74,2.16,1.72,1.69,2.03,synthetic://sample-data
2003-06-01,2002-2003,Colombia,Colombia Player 1,Colombia FC,Sample club season,2680,29,0.0,0.0,0.0,1.09,3.17,synthetic://sample-data
2003-06-01,2002-2003,Colombia,Colombia Player 2,Colombia FC,Sample club season,2067,22,1.25,1.53,1.69,1.54,6.55,synthetic://sample-data
2003-06-01,2002-2003,Colombia,Colombia Player 3,Colombia FC,Sample club season,2831,31,0.0,1.86,0.64,2.65,4.16,synthetic://sample-data
2003-06-01,2002-2003,Colombia,Colombia Player 4,Colombia FC,Sample club season,2463,27,2.52,2.82,4.1,4.09,5.59,synthetic://sample-data
2003-06-01,2002-2003,Colombia,Colombia Player 5,Colombia FC,Sample club season,3301,36,2.7,0.0,4.71,0.35,4.51,synthetic://sample-data
2003-06-01,2002-2003,Colombia,Colombia Player 6,Colombia FC,Sample club season,1186,13,3.03,2.47,1.56,2.81,0.14,synthetic://sample-data
2003-06-01,2002-2003,Colombia,Colombia Player 7,Colombia FC,Sample club season,1388,15,0.09,0.29,0.76,0.21,1.87,synthetic://sample-data
2003-06-01,2002-2003,Colombia,Colombia Player 8,Colombia FC,Sample club season,1092,12,2.6,0.84,2.24,0.3,1.55,synthetic://sample-data
2003-06-01,2002-2003,Costa Rica,Costa Rica Player 1,Costa Rica FC,Sample club season,2982,33,0.0,1.24,1.17,2.13,4.75,synthetic://sample-data
2003-06-01,2002-2003,Costa Rica,Costa Rica Player 2,Costa Rica FC,Sample club season,2923,32,0.0,1.24,0.62,1.6,2.2,synthetic://sample-data
2003-06-01,2002-2003,Costa Rica,Costa Rica Player 3,Costa Rica FC,Sample club season,2893,32,2.58,1.07,2.6,1.6,4.01,synthetic://sample-data
2003-06-01,2002-2003,Costa Rica,Costa Rica Player 4,Costa Rica FC,Sample club season,3206,35,0.74,1.17,1.22,1.42,4.58,synthetic://sample-data
2003-06-01,2002-2003,Costa Rica,Costa Rica Player 5,Costa Rica FC,Sample club season,2988,33,0.0,0.81,0.0,1.35,1.26,synthetic://sample-data
2003-06-01,2002-2003,Costa Rica,Costa Rica Player 6,Costa Rica FC,Sample club season,1746,19,2.83,0.63,4.36,0.0,0.0,synthetic://sample-data
2003-06-01,2002-2003,Costa Rica,Costa Rica Player 7,Costa Rica FC,Sample club season,1415,15,1.28,1.04,1.59,1.34,2.81,synthetic://sample-data
2003-06-01,2002-2003,Costa Rica,Costa Rica Player 8,Costa Rica FC,Sample club season,889,9,0.0,0.57,1.24,0.88,1.08,synthetic://sample-data
2003-06-01,2002-2003,Croatia,Croatia Player 1,Croatia FC,Sample club season,3158,35,3.03,0.83,3.09,1.33,5.28,synthetic://sample-data
2003-06-01,2002-2003,Croatia,Croatia Player 2,Croatia FC,Sample club season,2535,28,3.67,0.9,4.15,1.73,1.18,synthetic://sample-data
2003-06-01,2002-2003,Croatia,Croatia Player 3,Croatia FC,Sample club season,2458,27,2.17,0.95,1.7,1.51,5.87,synthetic://sample-data
2003-06-01,2002-2003,Croatia,Croatia Player 4,Croatia FC,Sample club season,2273,25,1.35,0.56,1.39,1.7,5.88,synthetic://sample-data
2003-06-01,2002-2003,Croatia,Croatia Player 5,Croatia FC,Sample club season,3428,38,0.0,0.0,0.0,0.02,4.43,synthetic://sample-data
2003-06-01,2002-2003,Croatia,Croatia Player 6,Croatia FC,Sample club season,420,4,1.59,2.17,2.24,1.38,5.47,synthetic://sample-data
2003-06-01,2002-2003,Croatia,Croatia Player 7,Croatia FC,Sample club season,1051,11,4.07,1.0,3.48,1.83,3.37,synthetic://sample-data
2003-06-01,2002-2003,Croatia,Croatia Player 8,Croatia FC,Sample club season,1745,19,0.0,3.46,0.81,4.05,0.39,synthetic://sample-data
2003-06-01,2002-2003,Denmark,Denmark Player 1,Denmark FC,Sample club season,3506,38,0.37,1.45,2.07,2.06,5.58,synthetic://sample-data
2003-06-01,2002-2003,Denmark,Denmark Player 2,Denmark FC,Sample club season,2965,32,0.82,0.0,1.06,0.85,6.26,synthetic://sample-data
2003-06-01,2002-2003,Denmark,Denmark Player 3,Denmark FC,Sample club season,1832,20,1.67,0.5,0.53,0.78,4.59,synthetic://sample-data
2003-06-01,2002-2003,Denmark,Denmark Player 4,Denmark FC,Sample club season,2252,25,0.67,0.73,0.0,0.99,6.14,synthetic://sample-data
2003-06-01,2002-2003,Denmark,Denmark Player 5,Denmark FC,Sample club season,2247,24,2.19,1.35,1.82,1.7,2.84,synthetic://sample-data
2003-06-01,2002-2003,Denmark,Denmark Player 6,Denmark FC,Sample club season,751,8,7.16,2.16,6.53,1.47,4.3,synthetic://sample-data
2003-06-01,2002-2003,Denmark,Denmark Player 7,Denmark FC,Sample club season,1550,17,3.39,0.59,3.18,0.09,3.71,synthetic://sample-data
2003-06-01,2002-2003,Denmark,Denmark Player 8,Denmark FC,Sample club season,1051,11,2.01,3.88,2.66,3.91,4.08,synthetic://sample-data
2003-06-01,2002-2003,Ecuador,Ecuador Player 1,Ecuador FC,Sample club season,3445,38,0.0,0.28,1.09,1.15,4.6,synthetic://sample-data
2003-06-01,2002-2003,Ecuador,Ecuador Player 2,Ecuador FC,Sample club season,2875,31,0.0,0.15,0.0,1.13,3.41,synthetic://sample-data
2003-06-01,2002-2003,Ecuador,Ecuador Player 3,Ecuador FC,Sample club season,2121,23,3.75,0.61,4.55,0.6,4.14,synthetic://sample-data
2003-06-01,2002-2003,Ecuador,Ecuador Player 4,Ecuador FC,Sample club season,2158,23,1.04,0.69,1.33,0.69,6.87,synthetic://sample-data
2003-06-01,2002-2003,Ecuador,Ecuador Player 5,Ecuador FC,Sample club season,2974,33,1.34,0.38,0.0,1.19,4.41,synthetic://sample-data
2003-06-01,2002-2003,Ecuador,Ecuador Player 6,Ecuador FC,Sample club season,982,10,0.02,0.72,0.0,1.12,4.4,synthetic://sample-data
2003-06-01,2002-2003,Ecuador,Ecuador Player 7,Ecuador FC,Sample club season,430,4,0.13,0.0,0.78,1.23,2.13,synthetic://sample-data
2003-06-01,2002-2003,Ecuador,Ecuador Player 8,Ecuador FC,Sample club season,1540,17,3.64,0.05,3.77,0.53,1.43,synthetic://sample-data
2003-06-01,2002-2003,Egypt,Egypt Player 1,Egypt FC,Sample club season,2416,26,1.89,0.0,1.32,0.66,4.4,synthetic://sample-data
2003-06-01,2002-2003,Egypt,Egypt Player 2,Egypt FC,Sample club season,2719,30,0.0,1.03,0.0,1.63,4.02,synthetic://sample-data
2003-06-01,2002-2003,Egypt,Egypt Player 3,Egypt FC,Sample club season,3260,36,0.0,0.8,0.18,2.15,3.97,synthetic://sample-data
2003-06-01,2002-2003,Egypt,Egypt Player 4,Egypt FC,Sample club season,2973,33,0.0,2.67,0.0,3.87,2.74,synthetic://sample-data
2003-06-01,2002-2003,Egypt,Egypt Player 5,Egypt FC,Sample club season,1924,21,0.57,1.14,0.81,1.28,4.81,synthetic://sample-data
2003-06-01,2002-2003,Egypt,Egypt Player 6,Egypt FC,Sample club season,1264,14,0.89,1.77,0.23,1.54,1.26,synthetic://sample-data
2003-06-01,2002-2003,Egypt,Egypt Player 7,Egypt FC,Sample club season,1736,19,3.67,0.45,3.19,0.0,1.41,synthetic://sample-data
2003-06-01,2002-2003,Egypt,Egypt Player 8,Egypt FC,Sample club season,1115,12,2.68,0.54,2.66,0.39,2.14,synthetic://sample-data
2003-06-01,2002-2003,England,England Player 1,England FC,Sample club season,3324,36,2.96,2.37,2.49,2.53,2.65,synthetic://sample-data
2003-06-01,2002-2003,England,England Player 2,England FC,Sample club season,2681,29,3.57,2.08,6.09,2.16,2.7,synthetic://sample-data
2003-06-01,2002-2003,England,England Player 3,England FC,Sample club season,2112,23,0.19,1.66,0.64,2.42,4.63,synthetic://sample-data
2003-06-01,2002-2003,England,England Player 4,England FC,Sample club season,2176,24,1.46,2.75,2.13,3.46,2.27,synthetic://sample-data
2003-06-01,2002-2003,England,England Player 5,England FC,Sample club season,2807,31,1.12,1.07,0.0,2.0,3.72,synthetic://sample-data
2003-06-01,2002-2003,England,England Player 6,England FC,Sample club season,1413,15,5.88,4.0,7.3,4.56,2.62,synthetic://sample-data
2003-06-01,2002-2003,England,England Player 7,England FC,Sample club season,539,5,4.81,5.0,3.64,4.8,2.49,synthetic://sample-data
2003-06-01,2002-2003,England,England Player 8,England FC,Sample club season,1015,11,7.07,2.15,6.95,2.48,6.75,synthetic://sample-data
2003-06-01,2002-2003,France,France Player 1,France FC,Sample club season,3477,38,2.12,2.39,1.81,2.86,4.73,synthetic://sample-data
2003-06-01,2002-2003,France,France Player 2,France FC,Sample club season,2225,24,1.83,2.01,3.47,2.33,3.49,synthetic://sample-data
2003-06-01,2002-2003,France,France Player 3,France FC,Sample club season,3186,35,2.73,2.7,3.12,3.14,8.11,synthetic://sample-data
2003-06-01,2002-2003,France,France Player 4,France FC,Sample club season,3443,38,1.25,0.59,1.74,0.72,5.0,synthetic://sample-data
2003-06-01,2002-2003,France,France Player 5,France FC,Sample club season,2393,26,2.93,1.47,3.62,2.02,4.0,synthetic://sample-data
2003-06-01,2002-2003,France,France Player 6,France FC,Sample club season,1089,12,4.29,4.27,4.4,3.84,3.16,synthetic://sample-data
2003-06-01,2002-2003,France,France Player 7,France FC,Sample club season,1712,19,4.34,4.24,3.98,4.39,0.66,synthetic://sample-data
2003-06-01,2002-2003,France,France Player 8,France FC,Sample club season,1144,12,2.85,3.88,4.36,3.61,3.86,synthetic://sample-data
2003-06-01,2002-2003,Germany,Germany Player 1,Germany FC,Sample club season,2475,27,4.23,0.31,3.97,1.54,4.05,synthetic://sample-data
2003-06-01,2002-2003,Germany,Germany Player 2,Germany FC,Sample club season,3370,37,1.96,2.09,2.72,2.01,3.82,synthetic://sample-data
2003-06-01,2002-2003,Germany,Germany Player 3,Germany FC,Sample club season,2923,32,2.39,0.66,3.68,1.43,3.67,synthetic://sample-data
2003-06-01,2002-2003,Germany,Germany Player 4,Germany FC,Sample club season,1896,21,1.17,2.31,0.0,2.64,3.26,synthetic://sample-data
2003-06-01,2002-2003,Germany,Germany Player 5,Germany FC,Sample club season,2587,28,3.32,1.7,6.05,1.84,4.72,synthetic://sample-data
2003-06-01,2002-2003,Germany,Germany Player 6,Germany FC,Sample club season,1508,16,2.19,4.0,2.0,4.4,4.12,synthetic://sample-data
2003-06-01,2002-2003,Germany,Germany Player 7,Germany FC,Sample club season,1274,14,5.03,4.28,4.97,3.99,0.0,synthetic://sample-data
2003-06-01,2002-2003,Germany,Germany Player 8,Germany FC,Sample club season,853,9,5.13,4.96,5.17,5.24,1.71,synthetic://sample-data
2003-06-01,2002-2003,Ghana,Ghana Player 1,Ghana FC,Sample club season,1871,20,0.0,1.44,1.16,1.3,2.67,synthetic://sample-data
2003-06-01,2002-2003,Ghana,Ghana Player 2,Ghana FC,Sample club season,1880,20,0.0,1.13,1.45,0.81,1.86,synthetic://sample-data
2003-06-01,2002-2003,Ghana,Ghana Player 3,Ghana FC,Sample club season,2143,23,1.23,1.28,0.97,1.99,5.81,synthetic://sample-data
2003-06-01,2002-2003,Ghana,Ghana Player 4,Ghana FC,Sample club season,2272,25,0.0,0.27,0.77,0.99,3.32,synthetic://sample-data
2003-06-01,2002-2003,Ghana,Ghana Player 5,Ghana FC,Sample club season,2989,33,0.0,0.0,0.0,0.87,3.18,synthetic://sample-data
2003-06-01,2002-2003,Ghana,Ghana Player 6,Ghana FC,Sample club season,504,5,1.72,0.0,2.73,0.0,0.55,synthetic://sample-data
2003-06-01,2002-2003,Ghana,Ghana Player 7,Ghana FC,Sample club season,843,9,2.09,1.79,0.76,2.89,4.69,synthetic://sample-data
2003-06-01,2002-2003,Ghana,Ghana Player 8,Ghana FC,Sample club season,1430,15,1.38,0.8,1.17,1.69,0.0,synthetic://sample-data
2003-06-01,2002-2003,Iran,Iran Player 1,Iran FC,Sample club season,2842,31,3.78,0.69,5.62,0.94,3.65,synthetic://sample-data
2003-06-01,2002-2003,Iran,Iran Player 2,Iran FC,Sample club season,2531,28,2.16,0.48,2.49,0.48,2.29,synthetic://sample-data
2003-06-01,2002-2003,Iran,Iran Player 3,Iran FC,Sample club season,3342,37,1.85,1.63,2.05,2.05,2.71,synthetic://sample-data
2003-06-01,2002-2003,Iran,Iran Player 4,Iran FC,Sample club season,3411,37,0.53,0.4,0.67,0.67,4.63,synthetic://sample-data
2003-06-01,2002-2003,Iran,Iran Player 5,Iran FC,Sample club season,3025,33,1.95,1.07,1.23,0.83,4.18,synthetic://sample-data
2003-06-01,2002-2003,Iran,Iran Player 6,Iran FC,Sample club season,1214,13,1.79,1.87,0.65,2.23,2.3,synthetic://sample-data
2003-06-01,2002-2003,Iran,Iran Player 7,Iran FC,Sample club season,467,5,0.46,1.37,0.6,1.9,0.0,synthetic://sample-data
2003-06-01,2002-2003,Iran,Iran Player 8,Iran FC,Sample club season,668,7,0.3,2.67,0.74,2.46,1.64,synthetic://sample-data
2003-06-01,2002-2003,Italy,Italy Player 1,Italy FC,Sample club season,3101,34,4.09,2.8,5.06,3.77,4.83,synthetic://sample-data
2003-06-01,2002-2003,Italy,Italy Player 2,Italy FC,Sample club season,2138,23,3.94,2.01,5.33,2.25,4.01,synthetic://sample-data
2003-06-01,2002-2003,Italy,Italy Player 3,Italy FC,Sample club season,2774,30,1.29,0.0,2.62,1.09,5.24,synthetic://sample-data
2003-06-01,2002-2003,Italy,Italy Player 4,Italy FC,Sample club season,2815,31,3.48,1.62,4.15,1.07,4.04,synthetic://sample-data
2003-06-01,2002-2003,Italy,Italy Player 5,Italy FC,Sample club season,3017,33,0.98,1.11,1.01,0.73,6.06,synthetic://sample-data
2003-06-01,2002-2003,Italy,Italy Player 6,Italy FC,Sample club season,835,9,5.71,2.44,5.02,2.41,3.54,synthetic://sample-data
2003-06-01,2002-2003,Italy,Italy Player 7,Italy FC,Sample club season,536,5,5.43,2.83,5.39,3.69,2.17,synthetic://sample-data
2003-06-01,2002-2003,Italy,Italy Player 8,Italy FC,Sample club season,1030,11,3.71,4.19,2.72,5.4,0.89,synthetic://sample-data
2003-06-01,2002-2003,Ivory Coast,Ivory Coast Player 1,Ivory Coast FC,Sample club season,2996,33,3.25,3.91,4.5,3.67,0.91,synthetic://sample-data
2003-06-01,2002-2003,Ivory Coast,Ivory Coast Player 2,Ivory Coast FC,Sample club season,1948,21,1.26,0.63,1.07,0.81,3.14,synthetic://sample-data
2003-06-01,2002-2003,Ivory Coast,Ivory Coast Player 3,Ivory Coast FC,Sample club season,2723,30,0.77,0.41,0.0,0.82,1.98,synthetic://sample-data
2003-06-01,2002-2003,Ivory Coast,Ivory Coast Player 4,Ivory Coast FC,Sample club season,2237,24,1.98,0.58,0.65,0.64,2.36,synthetic://sample-data
2003-06-01,2002-2003,Ivory Coast,Ivory Coast Player 5,Ivory Coast FC,Sample club season,2247,24,1.55,1.66,1.2,2.2,2.08,synthetic://sample-data
2003-06-01,2002-2003,Ivory Coast,Ivory Coast Player 6,Ivory Coast FC,Sample club season,1189,13,2.27,1.02,2.73,1.26,3.63,synthetic://sample-data
2003-06-01,2002-2003,Ivory Coast,Ivory Coast Player 7,Ivory Coast FC,Sample club season,1482,16,0.54,0.9,0.66,1.98,2.01,synthetic://sample-data
2003-06-01,2002-2003,Ivory Coast,Ivory Coast Player 8,Ivory Coast FC,Sample club season,1264,14,0.99,0.35,1.26,0.57,3.07,synthetic://sample-data
2003-06-01,2002-2003,Japan,Japan Player 1,Japan FC,Sample club season,2131,23,2.27,0.61,3.8,0.83,5.12,synthetic://sample-data
2003-06-01,2002-2003,Japan,Japan Player 2,Japan FC,Sample club season,2976,33,1.83,0.0,2.9,0.0,5.48,synthetic://sample-data
2003-06-01,2002-2003,Japan,Japan Player 3,Japan FC,Sample club season,3048,33,0.0,0.0,0.0,0.01,4.04,synthetic://sample-data
2003-06-01,2002-2003,Japan,Japan Player 4,Japan FC,Sample club season,2839,31,0.0,0.52,0.0,1.19,5.14,synthetic://sample-data
2003-06-01,2002-2003,Japan,Japan Player 5,Japan FC,Sample club season,2259,25,2.18,2.55,2.94,1.88,3.76,synthetic://sample-data
2003-06-01,2002-2003,Japan,Japan Player 6,Japan FC,Sample club season,1014,11,2.17,2.63,2.79,3.38,0.0,synthetic://sample-data
2003-06-01,2002-2003,Japan,Japan Player 7,Japan FC,Sample club season,1745,19,2.38,2.77,3.0,2.48,0.85,synthetic://sample-data
2003-06-01,2002-2003,Japan,Japan Player 8,Japan FC,Sample club season,1727,19,3.49,2.94,3.0,2.49,0.0,synthetic://sample-data
2003-06-01,2002-2003,Mexico,Mexico Player 1,Mexico FC,Sample club season,1915,21,0.19,0.61,0.88,0.53,2.37,synthetic://sample-data
2003-06-01,2002-2003,Mexico,Mexico Player 2,Mexico FC,Sample club season,3256,36,0.71,0.81,1.03,1.09,3.74,synthetic://sample-data
2003-06-01,2002-2003,Mexico,Mexico Player 3,Mexico FC,Sample club season,2134,23,0.82,0.0,0.88,1.3,2.78,synthetic://sample-data
2003-06-01,2002-2003,Mexico,Mexico Player 4,Mexico FC,Sample club season,2361,26,4.88,0.38,5.65,0.0,3.85,synthetic://sample-data
