as_of_date,team,player,position,club,squad_status,availability_status,injury_type,expected_return,is_probable_starter,source_url
2003-07-02,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-07-02,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-07-02,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-10-01,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2003-10-01,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2003-10-01,Algeria,Algeria Player 3,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2003-10-01,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-10-01,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-10-01,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-10-01,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-10-01,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-12-31,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2003-12-31,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2003-12-31,Algeria,Algeria Player 3,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2003-12-31,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-12-31,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2003-12-31,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-12-31,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2003-12-31,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-03-31,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-03-31,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-03-31,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-03-31,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-03-31,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-03-31,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-03-31,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-03-31,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-06-30,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-06-30,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-06-30,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-06-30,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-06-30,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-06-30,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-06-30,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-06-30,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-09-29,Algeria,Algeria Player 1,GK,Algeria FC,provisional,suspended,,,True,synthetic://sample-data
2004-09-29,Algeria,Algeria Player 2,DF,Algeria FC,provisional,suspended,,,True,synthetic://sample-data
2004-09-29,Algeria,Algeria Player 3,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2004-09-29,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-09-29,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-09-29,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-09-29,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-09-29,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-12-29,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-12-29,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-12-29,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-12-29,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-12-29,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2004-12-29,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-12-29,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2004-12-29,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-03-30,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2005-03-30,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2005-03-30,Algeria,Algeria Player 3,DF,Algeria FC,provisional,suspended,,,True,synthetic://sample-data
2005-03-30,Algeria,Algeria Player 4,MF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2005-03-30,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-03-30,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-03-30,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-03-30,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-06-29,Algeria,Algeria Player 1,GK,Algeria FC,provisional,suspended,,,True,synthetic://sample-data
2005-06-29,Algeria,Algeria Player 2,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2005-06-29,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-06-29,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-06-29,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-06-29,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-06-29,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-06-29,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-09-28,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2005-09-28,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2005-09-28,Algeria,Algeria Player 3,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2005-09-28,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-09-28,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-09-28,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-09-28,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-09-28,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-12-28,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-12-28,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-12-28,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-12-28,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-12-28,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2005-12-28,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-12-28,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2005-12-28,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-03-29,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2006-03-29,Algeria,Algeria Player 2,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2006-03-29,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-03-29,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-03-29,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-03-29,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-03-29,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-03-29,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-06-28,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2006-06-28,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2006-06-28,Algeria,Algeria Player 3,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2006-06-28,Algeria,Algeria Player 4,MF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2006-06-28,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-06-28,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-06-28,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-06-28,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-09-27,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-09-27,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-09-27,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-09-27,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-09-27,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-09-27,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-09-27,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-09-27,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-12-27,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2006-12-27,Algeria,Algeria Player 2,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2006-12-27,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-12-27,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-12-27,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2006-12-27,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-12-27,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2006-12-27,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-03-28,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2007-03-28,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2007-03-28,Algeria,Algeria Player 3,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2007-03-28,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-03-28,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-03-28,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-03-28,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-03-28,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-06-27,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-06-27,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-06-27,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-06-27,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-06-27,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-06-27,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-06-27,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-06-27,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-09-26,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-09-26,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-09-26,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-09-26,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-09-26,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2007-09-26,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-09-26,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-09-26,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-12-26,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2007-12-26,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2007-12-26,Algeria,Algeria Player 3,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2007-12-26,Algeria,Algeria Player 4,MF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2007-12-26,Algeria,Algeria Player 5,MF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2007-12-26,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-12-26,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2007-12-26,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-03-26,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2008-03-26,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2008-03-26,Algeria,Algeria Player 3,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2008-03-26,Algeria,Algeria Player 4,MF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2008-03-26,Algeria,Algeria Player 5,MF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2008-03-26,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-03-26,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-03-26,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-06-25,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-06-25,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-06-25,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-06-25,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-06-25,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-06-25,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-06-25,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-06-25,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-09-24,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2008-09-24,Algeria,Algeria Player 2,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2008-09-24,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-09-24,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-09-24,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-09-24,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-09-24,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-09-24,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-12-24,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-12-24,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-12-24,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-12-24,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-12-24,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2008-12-24,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-12-24,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2008-12-24,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-03-25,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-03-25,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-03-25,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-03-25,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-03-25,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-03-25,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-03-25,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-03-25,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-06-24,Algeria,Algeria Player 1,GK,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-06-24,Algeria,Algeria Player 2,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-06-24,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-06-24,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-06-24,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-06-24,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-06-24,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-06-24,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-09-23,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2009-09-23,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2009-09-23,Algeria,Algeria Player 3,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2009-09-23,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-09-23,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-09-23,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-09-23,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-09-23,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-12-23,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2009-12-23,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2009-12-23,Algeria,Algeria Player 3,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2009-12-23,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-12-23,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2009-12-23,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-12-23,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2009-12-23,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-03-24,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2010-03-24,Algeria,Algeria Player 2,DF,Algeria FC,provisional,suspended,,,True,synthetic://sample-data
2010-03-24,Algeria,Algeria Player 3,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2010-03-24,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2010-03-24,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2010-03-24,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-03-24,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-03-24,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-06-23,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2010-06-23,Algeria,Algeria Player 2,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2010-06-23,Algeria,Algeria Player 3,DF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2010-06-23,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2010-06-23,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2010-06-23,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-06-23,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-06-23,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-09-22,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2010-09-22,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2010-09-22,Algeria,Algeria Player 3,DF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2010-09-22,Algeria,Algeria Player 4,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2010-09-22,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2010-09-22,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-09-22,Algeria,Algeria Player 7,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-09-22,Algeria,Algeria Player 8,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
2010-12-22,Algeria,Algeria Player 1,GK,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2010-12-22,Algeria,Algeria Player 2,DF,Algeria FC,provisional,injured,sample soft-tissue,,True,synthetic://sample-data
2010-12-22,Algeria,Algeria Player 3,DF,Algeria FC,provisional,suspended,,,True,synthetic://sample-data
2010-12-22,Algeria,Algeria Player 4,MF,Algeria FC,provisional,doubtful,sample fitness test,,True,synthetic://sample-data
2010-12-22,Algeria,Algeria Player 5,MF,Algeria FC,provisional,available,,,True,synthetic://sample-data
2010-12-22,Algeria,Algeria Player 6,FW,Algeria FC,provisional,available,,,False,synthetic://sample-data
