date,team,injured_players,suspended_players,squad_market_value_eur,xg_for_10,xg_against_10
2022-06-08,Algeria,1,0,1105226143.0,1.248,1.07
2022-09-07,Algeria,6,1,1089772876.0,1.359,1.148
2022-12-07,Algeria,2,0,1117492604.0,1.21,1.021
2023-03-08,Algeria,4,0,1095445753.0,1.297,1.185
2023-06-07,Algeria,1,0,1067205295.0,1.412,1.002
2023-09-06,Algeria,1,0,1040130697.0,1.568,1.383
2023-12-06,Algeria,0,0,1108364698.0,1.201,1.222
2024-03-06,Algeria,0,0,1169436693.0,1.361,1.274
2024-06-05,Algeria,0,0,1150072161.0,1.265,1.234
2024-09-04,Algeria,2,0,1159280761.0,1.307,1.41
2024-12-04,Algeria,0,0,1107622986.0,1.499,1.377
2025-03-05,Algeria,0,0,1053628290.0,1.619,1.011
2025-06-04,Algeria,2,0,1070232627.0,1.432,1.121
2025-09-03,Algeria,3,0,1086887604.0,1.486,1.093
2025-12-03,Algeria,1,0,1111713519.0,1.79,1.076
2026-03-04,Algeria,1,0,1065140219.0,1.433,1.516
2003-01-01,Argentina,0,1,4766457299.0,2.889,0.3
2003-04-02,Argentina,0,0,4751119620.0,3.028,0.3
2003-07-02,Argentina,2,0,4743456594.0,3.08,0.3
2003-10-01,Argentina,1,0,4660820181.0,3.217,0.3
2003-12-31,Argentina,0,0,4708252577.0,3.088,0.3
2004-03-31,Argentina,1,0,4696887648.0,3.212,0.3
2004-06-30,Argentina,1,0,4742847036.0,3.391,0.3
2004-09-29,Argentina,1,0,4779090753.0,3.26,0.3
2004-12-29,Argentina,2,0,4694695402.0,3.176,0.3
2005-03-30,Argentina,1,0,4700987070.0,3.482,0.3
2005-06-29,Argentina,1,0,4737780254.0,3.404,0.3
2005-09-28,Argentina,4,0,4700627678.0,3.211,0.3
2005-12-28,Argentina,0,0,4713404502.0,3.232,0.3
2006-03-29,Argentina,0,0,4706498767.0,3.168,0.3
2006-06-28,Argentina,1,0,4703517568.0,3.404,0.3
2006-09-27,Argentina,0,0,4724096312.0,2.982,0.3
2006-12-27,Argentina,0,0,4724273012.0,3.265,0.3
2007-03-28,Argentina,3,0,4758482646.0,3.09,0.3
2007-06-27,Argentina,1,0,4686647151.0,2.979,0.3
2007-09-26,Argentina,3,1,4657951148.0,3.631,0.3
2007-12-26,Argentina,1,0,4673380543.0,3.109,0.3
2008-03-26,Argentina,2,0,4753725745.0,3.05,0.3
2008-06-25,Argentina,2,0,4746134862.0,3.239,0.3
2008-09-24,Argentina,1,1,4696458223.0,3.206,0.3
2008-12-24,Argentina,1,0,4713971591.0,3.436,0.3
2009-03-25,Argentina,1,1,4731669621.0,3.23,0.3
2009-06-24,Argentina,4,0,4698320147.0,3.091,0.3
2009-09-23,Argentina,1,0,4795120081.0,3.298,0.3
2009-12-23,Argentina,1,1,4768229898.0,3.306,0.3
2010-03-24,Argentina,2,0,4713275899.0,3.0,0.3
2010-06-23,Argentina,1,2,4725673986.0,3.343,0.3
2010-09-22,Argentina,4,0,4748763455.0,3.162,0.3
2010-12-22,Argentina,2,0,4698198005.0,3.298,0.3
2011-03-23,Argentina,1,0,4672802036.0,3.262,0.3
2011-06-22,Argentina,0,0,4716152613.0,3.47,0.3
2011-09-21,Argentina,1,1,4705278987.0,3.219,0.3
2011-12-21,Argentina,1,0,4743168297.0,3.316,0.3
2012-03-21,Argentina,1,0,4732179521.0,3.244,0.3
2012-06-20,Argentina,0,0,4687579874.0,3.394,0.3
2012-09-19,Argentina,2,0,4684606938.0,3.271,0.3
2012-12-19,Argentina,0,0,4711718823.0,3.166,0.3
2013-03-20,Argentina,1,0,4720350641.0,3.232,0.3
2013-06-19,Argentina,2,0,4740976210.0,3.39,0.3
2013-09-18,Argentina,1,0,4694983510.0,3.267,0.3
2013-12-18,Argentina,0,0,4712435313.0,3.398,0.3
2014-03-19,Argentina,1,0,4732843098.0,3.147,0.3
2014-06-18,Argentina,2,0,4688769230.0,2.974,0.3
2014-09-17,Argentina,0,1,4714254901.0,3.337,0.3
2014-12-17,Argentina,2,0,4723309498.0,3.052,0.3
2015-03-18,Argentina,2,0,4637154085.0,3.166,0.3
2015-06-17,Argentina,1,0,4691363575.0,3.281,0.3
2015-09-16,Argentina,2,1,4706919129.0,3.338,0.3
2015-12-16,Argentina,0,0,4661194128.0,2.768,0.3
2016-03-16,Argentina,0,0,4679335692.0,3.462,0.3
2016-06-15,Argentina,3,0,4686760120.0,3.054,0.3
2016-09-14,Argentina,0,1,4701674882.0,3.081,0.3
2016-12-14,Argentina,3,0,4735073134.0,3.335,0.3
2017-03-15,Argentina,0,0,4716889082.0,3.229,0.3
2017-06-14,Argentina,0,0,4729473333.0,3.241,0.3
2017-09-13,Argentina,0,1,4712737037.0,3.244,0.3
2017-12-13,Argentina,0,0,4772880648.0,3.022,0.3
2018-03-14,Argentina,1,0,4755501181.0,3.303,0.3
2018-06-13,Argentina,1,0,4726217955.0,3.478,0.3
2018-09-12,Argentina,1,0,4748436399.0,3.293,0.3
2018-12-12,Argentina,0,1,4717847043.0,3.233,0.3
2019-03-13,Argentina,1,1,4699369863.0,3.105,0.3
2019-06-12,Argentina,0,0,4746442586.0,3.304,0.3
2019-09-11,Argentina,0,0,4682582447.0,3.232,0.3
2019-12-11,Argentina,1,0,4732092446.0,3.384,0.3
2020-03-11,Argentina,1,0,4726765499.0,3.103,0.3
2020-06-10,Argentina,2,0,4624001546.0,3.223,0.3
2020-09-09,Argentina,4,0,4743011515.0,3.349,0.3
2020-12-09,Argentina,1,0,4709701155.0,3.293,0.3
2021-03-10,Argentina,0,1,4667059377.0,3.186,0.3
2021-06-09,Argentina,2,1,4764685028.0,3.093,0.3
2021-09-08,Argentina,1,0,4723754121.0,3.368,0.3
2021-12-08,Argentina,2,0,4757772546.0,3.127,0.3
2022-03-09,Argentina,1,0,4733781669.0,3.327,0.3
2022-06-08,Argentina,2,0,4707198589.0,3.071,0.3
2022-09-07,Argentina,0,0,4721055580.0,3.206,0.3
2022-12-07,Argentina,2,0,4712852487.0,3.164,0.3
2023-03-08,Argentina,1,0,4791258055.0,3.196,0.3
2023-06-07,Argentina,1,0,4726710345.0,3.032,0.3
2023-09-06,Argentina,3,1,4743769001.0,3.19,0.3
2023-12-06,Argentina,4,0,4683829050.0,3.124,0.3
2024-03-06,Argentina,3,0,4700286540.0,3.269,0.3
2024-06-05,Argentina,0,0,4739942720.0,3.35,0.3
2024-09-04,Argentina,1,0,4691611040.0,3.336,0.3
2024-12-04,Argentina,1,0,4759287467.0,3.553,0.3
2025-03-05,Argentina,1,0,4705935278.0,3.308,0.3
2025-06-04,Argentina,2,1,4712840760.0,3.238,0.3
2025-09-03,Argentina,1,0,4705366007.0,3.321,0.3
2025-12-03,Argentina,2,0,4672216265.0,3.242,0.3
2026-03-04,Argentina,1,1,4773367120.0,3.115,0.3
2003-01-01,Australia,2,0,936471015.0,1.609,1.152
2003-04-02,Australia,2,0,923059959.0,1.089,1.269
2003-07-02,Australia,0,0,928986567.0,1.426,0.959
2003-10-01,Australia,1,0,928469634.0,1.344,1.097
2003-12-31,Australia,4,0,940044094.0,1.434,1.113
2004-03-31,Australia,0,0,933795791.0,1.303,1.187
2004-06-30,Australia,3,0,927891666.0,1.405,0.987
2004-09-29,Australia,1,0,913232173.0,0.897,1.279
2004-12-29,Australia,0,0,934578119.0,1.41,0.959
2005-03-30,Australia,1,0,984572520.0,1.37,0.979
2005-06-29,Australia,1,0,921545593.0,1.184,1.387
2005-09-28,Australia,2,0,925910159.0,1.513,1.188
2005-12-28,Australia,0,0,980727361.0,1.554,0.99
2006-03-29,Australia,4,0,904267004.0,1.366,1.055
2006-06-28,Australia,0,0,928744606.0,1.347,1.43
2006-09-27,Australia,4,0,942860271.0,1.299,1.077
2006-12-27,Australia,4,0,951367610.0,1.297,1.01
2007-03-28,Australia,0,1,880857637.0,1.289,1.054
2007-06-27,Australia,0,0,926895953.0,1.575,1.406
2007-09-26,Australia,3,0,961130702.0,1.622,1.074
2007-12-26,Australia,2,0,978887652.0,1.234,1.349
2008-03-26,Australia,2,1,943761937.0,1.227,1.443
2008-06-25,Australia,0,0,921989617.0,1.654,1.267
2008-09-24,Australia,0,0,902897580.0,1.404,1.287
2008-12-24,Australia,3,0,948190386.0,1.188,1.408
2009-03-25,Australia,1,0,914624996.0,1.534,1.499
2009-06-24,Australia,3,0,942876500.0,1.418,1.321
2009-09-23,Australia,2,1,898319640.0,1.267,1.055
2009-12-23,Australia,1,0,922526307.0,1.39,1.151
2010-03-24,Australia,0,0,960682231.0,1.374,1.253
2010-06-23,Australia,2,0,923895738.0,1.246,1.233
2010-09-22,Australia,0,0,933559660.0,1.54,1.271
2010-12-22,Australia,1,1,962348268.0,1.519,1.266
2011-03-23,Australia,0,0,950318971.0,1.491,1.169
2011-06-22,Australia,1,0,894357730.0,1.355,0.969
2011-09-21,Australia,1,0,923776470.0,1.354,1.077
2011-12-21,Australia,1,1,922999404.0,1.42,1.256
2012-03-21,Australia,0,1,949370010.0,1.428,1.192
2012-06-20,Australia,0,0,938121899.0,1.367,1.229
2012-09-19,Australia,3,0,891491752.0,1.31,1.332
2012-12-19,Australia,0,0,928091887.0,1.3,1.165
2013-03-20,Australia,0,0,900316332.0,1.454,1.029
2013-06-19,Australia,0,0,885361576.0,1.543,1.343
2013-09-18,Australia,0,0,969868209.0,1.111,1.144
2013-12-18,Australia,3,0,939720626.0,1.325,1.172
2014-03-19,Australia,2,0,927359426.0,1.427,1.478
2014-06-18,Australia,0,0,954349473.0,1.528,1.377
2014-09-17,Australia,2,0,876070218.0,1.221,1.438
2014-12-17,Australia,5,0,933597532.0,1.526,1.054
2015-03-18,Australia,0,0,888267502.0,1.445,1.222
2015-06-17,Australia,0,0,1023075255.0,1.212,1.156
2015-09-16,Australia,1,0,953543662.0,1.287,1.494
2015-12-16,Australia,1,0,953908399.0,1.38,1.261
2016-03-16,Australia,3,0,921771668.0,1.056,1.03
2016-06-15,Australia,1,0,919830290.0,1.303,1.188
2016-09-14,Australia,2,0,931330725.0,1.62,1.252
2016-12-14,Australia,2,1,906272650.0,1.451,1.049
2017-03-15,Australia,3,0,896180044.0,1.435,1.416
2017-06-14,Australia,1,0,970674511.0,1.68,1.204
2017-09-13,Australia,0,0,907455942.0,1.243,1.283
2017-12-13,Australia,0,1,937775167.0,1.346,1.17
2018-03-14,Australia,2,0,930185582.0,1.221,1.263
2018-06-13,Australia,2,0,948854762.0,1.214,1.299
2018-09-12,Australia,1,0,954746273.0,1.323,1.062
2018-12-12,Australia,2,0,921780077.0,1.594,1.053
2019-03-13,Australia,1,0,946694948.0,1.252,0.927
2019-06-12,Australia,1,0,962171025.0,1.245,1.108
2019-09-11,Australia,5,0,998433812.0,0.996,1.239
2019-12-11,Australia,1,0,956528532.0,1.267,1.28
2020-03-11,Australia,2,0,892289003.0,1.602,1.383
2020-06-10,Australia,3,0,936149146.0,1.376,1.187
2020-09-09,Australia,0,0,928934152.0,1.119,1.13
2020-12-09,Australia,1,0,939233031.0,1.244,0.8
2021-03-10,Australia,1,0,976902186.0,1.355,1.046
2021-06-09,Australia,3,0,894786321.0,1.453,1.276
2021-09-08,Australia,0,1,973238608.0,1.316,1.154
2021-12-08,Australia,0,0,925767052.0,1.46,1.22
2022-03-09,Australia,1,0,913069337.0,1.363,1.024
2022-06-08,Australia,3,0,948307355.0,1.171,1.228
2022-09-07,Australia,1,0,929173710.0,1.509,1.282
2022-12-07,Australia,4,0,950249393.0,1.569,1.26
2023-03-08,Australia,1,0,927964086.0,1.525,1.213
2023-06-07,Australia,1,0,950789262.0,1.19,1.13
2023-09-06,Australia,2,0,934769742.0,1.476,1.43
2023-12-06,Australia,1,0,1001342961.0,1.092,1.462
2024-03-06,Australia,4,0,940207048.0,1.527,1.22
2024-06-05,Australia,1,0,978727841.0,1.195,0.984
2024-09-04,Australia,1,1,975552318.0,1.262,1.251
2024-12-04,Australia,3,0,876380752.0,1.177,1.267
2025-03-05,Australia,1,0,868900097.0,1.396,1.395
2025-06-04,Australia,2,0,954501860.0,1.535,1.25
2025-09-03,Australia,0,0,907921687.0,1.454,1.518
2025-12-03,Australia,0,0,967137397.0,1.285,1.343
2026-03-04,Australia,1,0,922106425.0,1.514,0.989
2003-01-01,Austria,0,0,1962940214.0,1.897,0.868
2003-04-02,Austria,0,0,1935449908.0,1.908,0.736
2003-07-02,Austria,0,0,1897604197.0,2.053,0.742
2003-10-01,Austria,0,0,1860235779.0,1.876,0.783
2003-12-31,Austria,2,0,1960539671.0,1.844,0.709
2004-03-31,Austria,1,0,1949629304.0,1.842,0.64
2004-06-30,Austria,1,0,1935034136.0,2.02,0.529
2004-09-29,Austria,0,0,1913793737.0,1.665,0.994
2004-12-29,Austria,2,1,1947866038.0,2.068,0.777
2005-03-30,Austria,2,0,1928461051.0,1.985,0.618
2005-06-29,Austria,2,0,1949589935.0,1.896,0.986
2005-09-28,Austria,3,0,1954476432.0,1.749,0.998
2005-12-28,Austria,1,0,1931285319.0,1.811,0.764
2006-03-29,Austria,1,1,1912216968.0,1.923,0.751
2006-06-28,Austria,2,1,1967545731.0,1.724,0.697
2006-09-27,Austria,1,0,1922923859.0,1.888,0.934
2006-12-27,Austria,1,0,1939296874.0,2.007,0.629
2007-03-28,Austria,3,0,1912324716.0,1.64,0.992
2007-06-27,Austria,1,1,1938806078.0,1.66,0.81
2007-09-26,Austria,3,0,1917649451.0,1.792,0.912
2007-12-26,Austria,0,0,1911365040.0,2.102,0.431
2008-03-26,Austria,3,0,1920089077.0,1.941,0.895
2008-06-25,Austria,4,0,1925097246.0,1.795,0.806
2008-09-24,Austria,0,1,1950240228.0,1.906,0.687
2008-12-24,Austria,0,1,1931029478.0,1.821,0.754
2009-03-25,Austria,2,0,1951296541.0,1.932,0.454
2009-06-24,Austria,1,0,1965562428.0,1.946,0.687
2009-09-23,Austria,2,1,1956810567.0,1.867,1.094
2009-12-23,Austria,3,0,1955626572.0,1.917,0.651
2010-03-24,Austria,1,0,1972458176.0,1.93,0.825
2010-06-23,Austria,0,0,1889326521.0,1.946,1.22
2010-09-22,Austria,1,0,1996428629.0,2.109,0.604
2010-12-22,Austria,3,0,1958864268.0,1.961,0.754
2011-03-23,Austria,3,0,1940231188.0,1.801,0.679
2011-06-22,Austria,4,0,1924770269.0,1.944,0.866
2011-09-21,Austria,3,0,1909473982.0,1.508,0.483
2011-12-21,Austria,4,0,1966233726.0,2.051,0.629
2012-03-21,Austria,1,0,1901377953.0,2.098,0.605
2012-06-20,Austria,1,0,1946632209.0,2.09,0.776
2012-09-19,Austria,1,0,1919893005.0,1.749,0.823
2012-12-19,Austria,0,0,1924804638.0,1.917,0.529
2013-03-20,Austria,6,0,2039199643.0,2.002,0.893
2013-06-19,Austria,1,0,1957959302.0,1.861,0.823
2013-09-18,Austria,4,0,1915078232.0,1.779,0.94
2013-12-18,Austria,1,0,1907782510.0,1.67,0.796
2014-03-19,Austria,1,0,1942187031.0,1.678,1.073
2014-06-18,Austria,0,0,2015771641.0,2.215,0.659
2014-09-17,Austria,0,1,1928116022.0,2.08,0.628
2014-12-17,Austria,3,0,1926589073.0,2.143,0.758
2015-03-18,Austria,0,0,1949001863.0,1.603,0.775
2015-06-17,Austria,2,0,1893587632.0,2.075,0.651
2015-09-16,Austria,0,0,1978334958.0,2.042,0.836
2015-12-16,Austria,3,0,1902060898.0,1.716,0.556
2016-03-16,Austria,2,0,1927697010.0,2.107,0.863
2016-06-15,Austria,3,0,1926858071.0,2.173,0.741
2016-09-14,Austria,0,0,1924517267.0,1.777,0.692
2016-12-14,Austria,1,0,1951071804.0,1.908,0.968
2017-03-15,Austria,0,0,1957510918.0,1.932,0.632
2017-06-14,Austria,2,0,1934616553.0,2.16,0.948
2017-09-13,Austria,2,1,1931869265.0,1.852,0.849
2017-12-13,Austria,1,0,1915886212.0,2.023,0.701
2018-03-14,Austria,2,0,1898670027.0,1.897,0.343
2018-06-13,Austria,0,0,1980988833.0,1.71,0.965
2018-09-12,Austria,1,0,1944028877.0,1.9,0.353
2018-12-12,Austria,2,0,1979101748.0,1.953,0.679
2019-03-13,Austria,1,0,1928121307.0,1.965,0.691
2019-06-12,Austria,1,0,1917935501.0,1.853,0.627
2019-09-11,Austria,3,0,1940943305.0,1.648,0.638
2019-12-11,Austria,3,1,1942807913.0,1.819,0.9
2020-03-11,Austria,3,0,1923943205.0,1.891,0.743
2020-06-10,Austria,1,0,1966075683.0,1.986,0.67
2020-09-09,Austria,2,0,2025633879.0,1.68,0.732
2020-12-09,Austria,4,0,1886115338.0,1.888,0.772
2021-03-10,Austria,0,0,1944517854.0,1.839,0.686
2021-06-09,Austria,0,0,1934729591.0,1.838,0.81
2021-09-08,Austria,0,0,1985741073.0,2.048,0.514
2021-12-08,Austria,1,1,1954974964.0,1.962,0.718
2022-03-09,Austria,2,0,1995695997.0,1.918,0.784
2022-06-08,Austria,2,0,1992596524.0,1.903,0.742
2022-09-07,Austria,1,1,2015417119.0,1.699,0.767
2022-12-07,Austria,1,0,1872422289.0,1.971,0.722
2023-03-08,Austria,4,0,1955697780.0,1.826,0.707
2023-06-07,Austria,0,1,1967588963.0,1.943,0.628
2023-09-06,Austria,1,0,1953368965.0,2.05,0.666
2023-12-06,Austria,3,0,1954504505.0,2.094,0.633
2024-03-06,Austria,3,0,1925873778.0,1.638,0.647
2024-06-05,Austria,0,0,1889429787.0,1.904,0.619
2024-09-04,Austria,1,0,1947376162.0,1.991,0.481
2024-12-04,Austria,1,0,1945921488.0,1.699,0.876
2025-03-05,Austria,3,0,1928517391.0,1.903,0.627
2025-06-04,Austria,1,0,1937562412.0,1.892,0.733
2025-09-03,Austria,1,0,1987416358.0,1.741,1.028
2025-12-03,Austria,0,0,1928592187.0,2.099,0.705
2026-03-04,Austria,0,0,1901997812.0,1.856,0.738
2003-01-01,Belgium,4,0,3054848848.0,2.374,0.334
2003-04-02,Belgium,0,0,3026955852.0,2.541,0.3
2003-07-02,Belgium,4,1,2931284287.0,2.541,0.3
2003-10-01,Belgium,1,0,3049597704.0,2.456,0.3
2003-12-31,Belgium,0,1,3076952772.0,2.427,0.3
2004-03-31,Belgium,1,1,3070038983.0,2.698,0.3
2004-06-30,Belgium,1,0,3017907712.0,2.576,0.3
2004-09-29,Belgium,4,0,3003944722.0,2.391,0.418
2004-12-29,Belgium,1,0,3017299287.0,2.562,0.3
2005-03-30,Belgium,0,0,2987656376.0,2.538,0.751
2005-06-29,Belgium,0,0,3036141092.0,2.343,0.33
2005-09-28,Belgium,2,0,3024270462.0,2.286,0.3
2005-12-28,Belgium,1,1,3051670374.0,2.129,0.458
2006-03-29,Belgium,2,0,3016894132.0,2.588,0.3
2006-06-28,Belgium,3,0,3044802726.0,2.658,0.3
2006-09-27,Belgium,2,1,3067789123.0,2.43,0.3
2006-12-27,Belgium,0,0,3008591663.0,2.431,0.3
2007-03-28,Belgium,2,0,3045652122.0,2.43,0.3
2007-06-27,Belgium,2,0,2972113228.0,2.295,0.3
2007-09-26,Belgium,1,0,3015625574.0,2.387,0.3
2007-12-26,Belgium,3,1,2973937548.0,2.423,0.3
2008-03-26,Belgium,2,0,2981404635.0,2.183,0.3
2008-06-25,Belgium,2,0,2945741090.0,2.51,0.3
2008-09-24,Belgium,4,0,2969231243.0,2.134,0.3
2008-12-24,Belgium,5,1,2992629056.0,2.465,0.3
2009-03-25,Belgium,0,0,3041334333.0,2.301,0.3
2009-06-24,Belgium,0,1,2993269399.0,2.854,0.3
2009-09-23,Belgium,3,0,3059985384.0,2.434,0.3
2009-12-23,Belgium,0,0,2982162599.0,2.536,0.3
2010-03-24,Belgium,1,0,3023176687.0,2.579,0.3
2010-06-23,Belgium,1,0,2925850670.0,2.106,0.445
2010-09-22,Belgium,2,0,2996087547.0,2.285,0.3
2010-12-22,Belgium,2,0,3017395033.0,2.313,0.3
2011-03-23,Belgium,0,1,3020967659.0,2.266,0.3
2011-06-22,Belgium,3,0,3076340751.0,2.387,0.396
2011-09-21,Belgium,4,1,3071690101.0,2.491,0.3
2011-12-21,Belgium,1,0,3072916134.0,2.339,0.3
2012-03-21,Belgium,1,0,2969571288.0,2.336,0.385
2012-06-20,Belgium,3,0,3028026039.0,2.536,0.3
2012-09-19,Belgium,1,0,3067802557.0,2.357,0.3
2012-12-19,Belgium,0,0,3000205897.0,2.184,0.467
2013-03-20,Belgium,1,0,3019611153.0,2.53,0.3
2013-06-19,Belgium,0,0,2981194015.0,2.43,0.306
2013-09-18,Belgium,2,0,3048716343.0,2.451,0.3
2013-12-18,Belgium,0,0,3042573174.0,2.524,0.433
2014-03-19,Belgium,0,0,3043517445.0,2.065,0.3
2014-06-18,Belgium,0,0,3010072690.0,2.521,0.3
2014-09-17,Belgium,3,0,3017176915.0,2.359,0.3
2014-12-17,Belgium,0,0,3051872156.0,2.29,0.3
2015-03-18,Belgium,1,0,3045024724.0,2.705,0.319
2015-06-17,Belgium,0,0,3006381871.0,2.453,0.3
2015-09-16,Belgium,3,0,3008655872.0,2.212,0.3
2015-12-16,Belgium,3,0,2982134602.0,2.597,0.3
2016-03-16,Belgium,1,0,3008186053.0,2.367,0.3
2016-06-15,Belgium,0,0,3000050067.0,2.376,0.3
2016-09-14,Belgium,4,1,3013263705.0,2.202,0.3
2016-12-14,Belgium,1,0,3002930291.0,2.435,0.3
2017-03-15,Belgium,0,1,3038428933.0,2.323,0.3
2017-06-14,Belgium,3,1,3006756629.0,2.376,0.3
2017-09-13,Belgium,1,0,3016974455.0,2.252,0.3
2017-12-13,Belgium,0,1,3026515795.0,2.64,0.3
2018-03-14,Belgium,0,0,3002793248.0,2.417,0.3
2018-06-13,Belgium,0,0,3014305403.0,2.407,0.3
2018-09-12,Belgium,1,0,3013923856.0,2.265,0.3
2018-12-12,Belgium,1,0,3021488100.0,2.353,0.3
2019-03-13,Belgium,1,0,3021038406.0,2.598,0.3
2019-06-12,Belgium,0,0,2978301279.0,2.52,0.3
2019-09-11,Belgium,1,0,3063538795.0,2.325,0.493
2019-12-11,Belgium,1,0,3058884014.0,2.699,0.351
2020-03-11,Belgium,1,0,3024448144.0,2.52,0.3
2020-06-10,Belgium,1,1,3033845748.0,2.553,0.3
2020-09-09,Belgium,0,0,2973713978.0,2.451,0.3
2020-12-09,Belgium,0,0,3037551861.0,2.311,0.3
2021-03-10,Belgium,2,0,2987648655.0,2.785,0.3
2021-06-09,Belgium,0,1,2948510215.0,2.389,0.3
2021-09-08,Belgium,2,0,2983936443.0,2.299,0.3
2021-12-08,Belgium,0,0,3035349271.0,2.299,0.3
2022-03-09,Belgium,1,0,3030851198.0,2.465,0.3
2022-06-08,Belgium,2,0,2950993965.0,2.068,0.3
2022-09-07,Belgium,3,0,3050469499.0,2.479,0.3
2022-12-07,Belgium,0,1,2973967513.0,2.463,0.3
2023-03-08,Belgium,1,0,3073213404.0,2.471,0.3
