date,home_team,away_team,home_score,away_score,tournament,neutral,country
2003-07-05,USA,Denmark,1,4,Friendly,False,USA
2003-07-09,Turkey,Mexico,1,0,UEFA Euro,False,Turkey
2003-07-13,England,Switzerland,0,2,World Cup qualification,False,England
2003-07-16,Japan,Switzerland,0,3,FIFA World Cup,False,Japan
2003-07-20,Uruguay,Wales,1,0,World Cup qualification,True,Neutral
2003-07-24,Brazil,Switzerland,5,2,Friendly,False,Brazil
2003-07-28,Cameroon,USA,1,2,World Cup qualification,False,Cameroon
2003-08-01,Algeria,Germany,1,1,Friendly,False,Algeria
2003-08-05,Norway,Italy,2,1,Friendly,False,Norway
2003-08-09,Uruguay,Sweden,2,1,Nations League,False,Uruguay
2003-08-12,Denmark,Ivory Coast,3,1,FIFA World Cup,True,Neutral
2003-08-16,Japan,Costa Rica,4,0,UEFA Euro,False,Japan
2003-08-20,Tunisia,Australia,1,2,Friendly,False,Tunisia
2003-08-24,Tunisia,Senegal,1,1,FIFA World Cup,True,Neutral
2003-08-28,Argentina,Switzerland,2,0,Friendly,True,Neutral
2003-09-01,Uruguay,Ghana,2,0,World Cup qualification,False,Uruguay
2003-09-05,Costa Rica,Nigeria,3,1,FIFA World Cup,False,Costa Rica
2003-09-08,Japan,Panama,1,0,Friendly,False,Japan
2003-09-12,Uruguay B,Denmark,0,0,FIFA World Cup,True,Neutral
2003-09-16,Italy,Turkey,1,1,Copa America,False,Italy
2003-09-20,Senegal,Serbia,0,3,Copa America,False,Senegal
2003-09-24,Serbia,Scotland,2,0,Friendly,False,Serbia
2003-09-28,Peru,Canada,4,2,FIFA World Cup,False,Peru
2003-10-02,France,Colombia,4,0,Friendly,False,France
2003-10-06,Argentina,Cameroon,6,1,Friendly,False,Argentina
2003-10-09,Tunisia,Morocco,0,2,World Cup qualification,False,Tunisia
2003-10-13,Senegal,Serbia,1,2,Friendly,True,Neutral
2003-10-17,Algeria,Chile,1,2,World Cup qualification,False,Algeria
2003-10-21,Uruguay,Uruguay B,3,2,World Cup qualification,False,Uruguay
2003-10-25,Nigeria,Egypt,2,0,Friendly,False,Nigeria
2003-10-29,Colombia,Poland,0,1,World Cup qualification,True,Neutral
2003-11-02,France,Ivory Coast,2,0,World Cup qualification,True,Neutral
2003-11-05,Algeria,Saudi Arabia,3,1,World Cup qualification,True,Neutral
2003-11-09,England,Ukraine,4,0,Friendly,True,Neutral
2003-11-13,South Korea,Mexico,3,3,UEFA Euro,False,South Korea
2003-11-17,Croatia,Japan,1,2,UEFA Euro,False,Croatia
2003-11-21,Chile,Colombia,1,2,World Cup qualification,True,Neutral
2003-11-25,Germany,Netherlands,0,0,World Cup qualification,True,Neutral
2003-11-29,Argentina,Panama,3,0,FIFA World Cup,False,Argentina
2003-12-02,Morocco,Austria,1,2,Friendly,False,Morocco
2003-12-06,Algeria,Belgium,0,1,FIFA World Cup,False,Algeria
2003-12-10,Tunisia,Portugal,0,1,Friendly,False,Tunisia
2003-12-14,Italy,Poland,2,0,Friendly,False,Italy
2003-12-18,Senegal,Algeria,2,2,World Cup qualification,True,Neutral
2003-12-22,France,Nigeria,3,0,Friendly,False,France
2003-12-26,Senegal,Spain,0,1,Friendly,False,Senegal
2003-12-29,Peru,Algeria,2,2,World Cup qualification,True,Neutral
2004-01-02,Uruguay B,Italy,0,5,FIFA World Cup,False,Uruguay B
2004-01-06,Turkey,Tunisia,2,2,Friendly,False,Turkey
2004-01-10,Wales,Uruguay B,0,2,World Cup qualification,True,Neutral
2004-01-14,Nigeria,Ecuador,1,1,Copa America,True,Neutral
2004-01-18,Ukraine,Poland,2,1,Friendly,True,Neutral
2004-01-22,Panama,Sweden,2,1,Nations League,False,Panama
2004-01-25,Tunisia,Ecuador,0,2,Nations League,True,Neutral
2004-01-29,Saudi Arabia,Turkey,2,1,Friendly,False,Saudi Arabia
2004-02-02,Canada,Egypt,0,1,Friendly,True,Neutral
2004-02-06,Poland,Uruguay B,1,0,Nations League,True,Neutral
2004-02-10,Belgium,Iran,0,0,Friendly,False,Belgium
2004-02-14,Colombia,Poland,1,0,Nations League,True,Neutral
2004-02-18,Belgium,Canada,0,2,Copa America,False,Belgium
2004-02-22,Canada,USA,3,0,World Cup qualification,False,Canada
2004-02-25,Tunisia,France,2,2,World Cup qualification,True,Neutral
2004-02-29,Tunisia,Austria,1,1,Friendly,False,Tunisia
2004-03-04,Colombia,Ecuador,3,0,Nations League,False,Colombia
2004-03-08,Brazil,Belgium,2,1,Friendly,True,Neutral
2004-03-12,USA,Uruguay B,0,0,Friendly,False,USA
2004-03-16,Netherlands,Italy,1,1,World Cup qualification,False,Netherlands
2004-03-20,Scotland,Ghana,2,1,Friendly,False,Scotland
2004-03-23,Switzerland,France,1,2,Nations League,False,Switzerland
2004-03-27,Mexico,Ecuador,2,1,World Cup qualification,False,Mexico
2004-03-31,Ghana,Spain,0,3,Friendly,False,Ghana
2004-04-04,Switzerland,Portugal,0,5,Nations League,False,Switzerland
2004-04-08,Belgium,Australia,2,1,Friendly,False,Belgium
2004-04-12,Spain,Italy,1,0,Friendly,False,Spain
2004-04-16,Egypt,Senegal,1,0,Copa America,False,Egypt
2004-04-19,Costa Rica,Argentina,0,3,World Cup qualification,False,Costa Rica
2004-04-23,Croatia,Germany,1,0,Nations League,False,Croatia
2004-04-27,Denmark,Nigeria,1,0,Friendly,False,Denmark
2004-05-01,Ivory Coast,USA,1,3,UEFA Euro,False,Ivory Coast
2004-05-05,Saudi Arabia,Japan,2,0,UEFA Euro,False,Saudi Arabia
2004-05-09,Australia,England,2,2,Copa America,True,Neutral
2004-05-13,Egypt,Sweden,2,2,World Cup qualification,False,Egypt
2004-05-16,Ivory Coast,Serbia,0,2,FIFA World Cup,False,Ivory Coast
2004-05-20,Tunisia,Panama,0,1,Copa America,False,Tunisia
2004-05-24,Argentina,Colombia,1,0,Nations League,False,Argentina
2004-05-28,Serbia,Uruguay B,2,0,World Cup qualification,False,Serbia
2004-06-01,Japan,Turkey,1,1,UEFA Euro,False,Japan
2004-06-05,Wales,Egypt,0,2,World Cup qualification,False,Wales
2004-06-09,USA,England,3,1,Friendly,False,USA
2004-06-12,Ivory Coast,Norway,2,0,Friendly,False,Ivory Coast
2004-06-16,Colombia,Norway,2,0,FIFA World Cup,False,Colombia
2004-06-20,Switzerland,Serbia,0,1,UEFA Euro,False,Switzerland
2004-06-24,Portugal,Germany,3,2,Nations League,False,Portugal
2004-06-28,Switzerland,Uruguay B,3,1,World Cup qualification,True,Neutral
2004-07-02,Japan,Tunisia,1,2,FIFA World Cup,False,Japan
2004-07-06,England,Turkey,3,1,Nations League,False,England
2004-07-10,Turkey,USA,1,1,Nations League,False,Turkey
2004-07-13,Mexico,Brazil,0,5,Friendly,True,Neutral
2004-07-17,France,Germany,0,5,Friendly,False,France
2004-07-21,Scotland,Turkey,0,2,FIFA World Cup,False,Scotland
2004-07-25,Colombia,Turkey,2,0,Nations League,False,Colombia
2004-07-29,Tunisia,Denmark,3,0,Friendly,True,Neutral
2004-08-02,Scotland,Nigeria,3,0,World Cup qualification,False,Scotland
2004-08-06,Colombia,Morocco,0,1,Friendly,False,Colombia
2004-08-09,Germany,Cameroon,2,2,World Cup qualification,False,Germany
2004-08-13,Wales,Qatar,4,1,Friendly,False,Wales
2004-08-17,Costa Rica,Chile,0,0,Friendly,True,Neutral
2004-08-21,Sweden,Nigeria,2,2,Friendly,False,Sweden
2004-08-25,Qatar,Iran,4,2,FIFA World Cup,True,Neutral
2004-08-29,Turkey,Denmark,0,3,Copa America,True,Neutral
2004-09-02,USA,Sweden,2,2,Friendly,False,USA
2004-09-05,Ecuador,Iran,3,1,World Cup qualification,False,Ecuador
2004-09-09,Germany,Croatia,3,1,Friendly,False,Germany
2004-09-13,Peru,Ghana,1,1,Friendly,False,Peru
2004-09-17,France,Japan,1,1,World Cup qualification,False,France
2004-09-21,Tunisia,Uruguay,1,1,World Cup qualification,False,Tunisia
2004-09-25,Scotland,Peru,0,1,Friendly,False,Scotland
2004-09-29,Costa Rica,Nigeria,0,1,Nations League,False,Costa Rica
2004-10-02,Ghana,Australia,2,1,Nations League,False,Ghana
2004-10-06,Austria,Italy,0,3,Copa America,False,Austria
2004-10-10,Netherlands,Belgium,2,0,FIFA World Cup,True,Neutral
2004-10-14,Qatar,Croatia,4,5,World Cup qualification,False,Qatar
2004-10-18,Denmark,Brazil,0,2,World Cup qualification,False,Denmark
2004-10-22,Peru,Croatia,1,1,Friendly,False,Peru
2004-10-26,Canada,Turkey,3,1,Friendly,False,Canada
2004-10-30,Belgium,USA,2,1,Nations League,False,Belgium
2004-11-02,Colombia,Italy,0,0,Friendly,False,Colombia
2004-11-06,Brazil,Uruguay,4,1,Friendly,False,Brazil
2004-11-10,Austria,Turkey,0,2,World Cup qualification,True,Neutral
2004-11-14,Netherlands,Peru,5,0,FIFA World Cup,False,Netherlands
2004-11-18,Ecuador,Serbia,0,4,Friendly,True,Neutral
2004-11-22,Brazil,USA,2,0,FIFA World Cup,True,Neutral
2004-11-26,Switzerland,Netherlands,0,0,Friendly,False,Switzerland
2004-11-29,Ukraine,Uruguay,2,2,UEFA Euro,False,Ukraine
2004-12-03,Serbia,Spain,1,1,Friendly,False,Serbia
2004-12-07,Spain,Ghana,2,2,Friendly,False,Spain
2004-12-11,Uruguay,Poland,2,1,Friendly,False,Uruguay
2004-12-15,Austria,Netherlands,0,1,Friendly,True,Neutral
2004-12-19,Peru,Costa Rica,0,2,Friendly,True,Neutral
2004-12-23,Algeria,Ghana,2,0,World Cup qualification,True,Neutral
2004-12-26,Ukraine,Tunisia,4,0,FIFA World Cup,False,Ukraine
2004-12-30,Portugal,Uruguay,1,0,Friendly,False,Portugal
2005-01-03,Qatar,Saudi Arabia,3,1,World Cup qualification,False,Qatar
2005-01-07,Serbia,Uruguay B,1,1,Friendly,True,Neutral
2005-01-11,Panama,USA,1,3,Friendly,False,Panama
2005-01-15,Iran,Italy,0,2,Friendly,False,Iran
2005-01-19,France,Peru,3,0,World Cup qualification,False,France
2005-01-22,Costa Rica,Germany,2,1,Friendly,False,Costa Rica
2005-01-26,Cameroon,France,0,3,Copa America,False,Cameroon
2005-01-30,Wales,Senegal,0,1,Friendly,True,Neutral
2005-02-03,Morocco,Switzerland,2,3,Nations League,False,Morocco
2005-02-07,Spain,Uruguay,2,0,Friendly,True,Neutral
2005-02-11,Costa Rica,Switzerland,0,1,Friendly,False,Costa Rica
2005-02-15,England,Austria,2,2,Friendly,True,Neutral
2005-02-18,Netherlands,Costa Rica,3,0,FIFA World Cup,False,Netherlands
2005-02-22,South Korea,Uruguay B,2,0,Friendly,False,South Korea
2005-02-26,Colombia,Scotland,2,1,World Cup qualification,True,Neutral
2005-03-02,Colombia,Poland,1,1,Friendly,False,Colombia
2005-03-06,Portugal,Peru,4,0,Friendly,False,Portugal
2005-03-10,Senegal,Nigeria,1,0,Friendly,True,Neutral
2005-03-14,Portugal,Switzerland,2,2,FIFA World Cup,True,Neutral
2005-03-18,Iran,Tunisia,1,0,Copa America,True,Neutral
2005-03-21,Portugal,Uruguay B,2,1,Friendly,False,Portugal
2005-03-25,Denmark,Netherlands,2,0,FIFA World Cup,False,Denmark
2005-03-29,Japan,Denmark,1,0,FIFA World Cup,True,Neutral
2005-04-02,Costa Rica,Turkey,1,2,World Cup qualification,False,Costa Rica
2005-04-06,Uruguay B,Panama,3,2,UEFA Euro,False,Uruguay B
2005-04-10,Qatar,Ghana,1,0,Friendly,False,Qatar
2005-04-14,Scotland,Peru,1,0,World Cup qualification,False,Scotland
2005-04-17,Ghana,Poland,1,2,Friendly,False,Ghana
2005-04-21,Germany,Cameroon,3,1,Friendly,True,Neutral
2005-04-25,Tunisia,Ecuador,1,2,Friendly,False,Tunisia
2005-04-29,Morocco,Chile,4,0,Friendly,False,Morocco
2005-05-03,Brazil,Ukraine,1,1,Friendly,False,Brazil
2005-05-07,Australia,Colombia,1,3,FIFA World Cup,False,Australia
2005-05-11,Ivory Coast,Algeria,2,2,Friendly,False,Ivory Coast
2005-05-14,Scotland,Serbia,2,3,UEFA Euro,True,Neutral
2005-05-18,Costa Rica,Turkey,2,3,Friendly,False,Costa Rica
2005-05-22,Saudi Arabia,Mexico,0,3,Friendly,False,Saudi Arabia
2005-05-26,Poland,Australia,2,1,FIFA World Cup,False,Poland
2005-05-30,Japan,Netherlands,1,4,FIFA World Cup,False,Japan
2005-06-03,USA,Morocco,2,3,World Cup qualification,False,USA
2005-06-07,Austria,Uruguay B,2,2,Friendly,False,Austria
2005-06-10,France,Japan,2,0,UEFA Euro,False,France
2005-06-14,Senegal,Iran,2,1,World Cup qualification,False,Senegal
2005-06-18,Australia,Norway,0,0,World Cup qualification,False,Australia
2005-06-22,Norway,Tunisia,0,2,Friendly,False,Norway
2005-06-26,Sweden,Wales,2,1,FIFA World Cup,False,Sweden
2005-06-30,Denmark,Ecuador,0,1,Copa America,False,Denmark
2005-07-04,South Korea,Wales,3,0,FIFA World Cup,False,South Korea
2005-07-07,Costa Rica,Scotland,1,1,Friendly,False,Costa Rica
2005-07-11,Ivory Coast,Portugal,1,3,Friendly,True,Neutral
2005-07-15,Poland,Ecuador,0,0,FIFA World Cup,True,Neutral
2005-07-19,Italy,Serbia,4,0,Friendly,False,Italy
2005-07-23,Ukraine,Spain,0,4,World Cup qualification,False,Ukraine
2005-07-27,Ghana,South Korea,0,1,Friendly,False,Ghana
2005-07-31,Qatar,Senegal,1,0,Nations League,True,Neutral
2005-08-04,Serbia,Saudi Arabia,1,1,Friendly,False,Serbia
2005-08-07,Italy,Austria,1,0,Friendly,False,Italy
2005-08-11,Austria,Poland,2,0,World Cup qualification,True,Neutral
2005-08-15,Netherlands,Senegal,1,0,Copa America,False,Netherlands
2005-08-19,South Korea,Tunisia,3,1,World Cup qualification,True,Neutral
2005-08-23,Wales,Turkey,0,0,Copa America,False,Wales
2005-08-27,France,Ivory Coast,2,2,Nations League,False,France
2005-08-31,Scotland,Australia,2,2,FIFA World Cup,False,Scotland
2005-09-03,Argentina,Spain,1,2,FIFA World Cup,False,Argentina
2005-09-07,Qatar,Tunisia,3,0,World Cup qualification,False,Qatar
2005-09-11,Peru,Saudi Arabia,2,1,FIFA World Cup,False,Peru
2005-09-15,Mexico,Saudi Arabia,0,0,Friendly,True,Neutral
2005-09-19,Iran,South Korea,2,2,Copa America,False,Iran
2005-09-23,Costa Rica,Ukraine,1,1,Friendly,False,Costa Rica
2005-09-27,South Korea,Tunisia,2,3,World Cup qualification,True,Neutral
2005-09-30,Brazil,Germany,4,2,Friendly,False,Brazil
2005-10-04,Austria,Scotland,0,1,Nations League,False,Austria
2005-10-08,England,Panama,1,1,Nations League,False,England
2005-10-12,Peru,Saudi Arabia,3,4,FIFA World Cup,False,Peru
2005-10-16,Costa Rica,Panama,0,1,Friendly,False,Costa Rica
2005-10-20,Chile,Italy,0,1,Friendly,False,Chile
2005-10-24,Ukraine,USA,1,1,Nations League,False,Ukraine
2005-10-27,Canada,Saudi Arabia,2,3,Friendly,True,Neutral
2005-10-31,Germany,Panama,3,0,Friendly,False,Germany
2005-11-04,Serbia,Austria,0,1,World Cup qualification,True,Neutral
2005-11-08,Ukraine,Spain,0,6,World Cup qualification,False,Ukraine
2005-11-12,Croatia,Serbia,4,1,Friendly,False,Croatia
2005-11-16,England,Costa Rica,2,0,World Cup qualification,False,England
2005-11-20,Japan,Uruguay B,1,2,World Cup qualification,False,Japan
2005-11-23,Japan,Netherlands,1,0,UEFA Euro,False,Japan
2005-11-27,Ukraine,Japan,2,1,World Cup qualification,False,Ukraine
2005-12-01,Switzerland,Cameroon,3,1,Nations League,False,Switzerland
2005-12-05,Canada,Ecuador,1,1,Friendly,False,Canada
2005-12-09,Turkey,USA,1,0,Nations League,True,Neutral
2005-12-13,Egypt,Portugal,2,0,FIFA World Cup,False,Egypt
2005-12-17,Qatar,Argentina,1,3,Nations League,False,Qatar
2005-12-21,Mexico,Algeria,2,1,Copa America,False,Mexico
2005-12-24,Portugal,Japan,4,4,Friendly,False,Portugal
2005-12-28,Chile,Mexico,0,1,Friendly,True,Neutral
2006-01-01,Norway,England,2,1,Nations League,True,Neutral
2006-01-05,Poland,Switzerland,1,2,Friendly,True,Neutral
2006-01-09,Tunisia,Senegal,2,3,World Cup qualification,False,Tunisia
2006-01-13,Italy,Germany,1,1,FIFA World Cup,False,Italy
2006-01-17,Denmark,Cameroon,2,0,UEFA Euro,False,Denmark
2006-01-20,Mexico,Scotland,1,3,Friendly,False,Mexico
2006-01-24,Costa Rica,Norway,1,2,Friendly,False,Costa Rica
2006-01-28,Ukraine,Uruguay,1,0,Friendly,False,Ukraine
2006-02-01,Japan,France,0,2,Copa America,False,Japan
2006-02-05,Qatar,France,1,4,World Cup qualification,False,Qatar
2006-02-09,South Korea,Wales,2,3,Friendly,False,South Korea
2006-02-13,Saudi Arabia,Panama,2,0,World Cup qualification,False,Saudi Arabia
2006-02-16,Belgium,Ivory Coast,1,2,Friendly,False,Belgium
2006-02-20,South Korea,Australia,1,1,World Cup qualification,False,South Korea
2006-02-24,USA,Iran,0,5,Friendly,True,Neutral
2006-02-28,Algeria,Qatar,1,1,Friendly,False,Algeria
2006-03-04,Denmark,Japan,3,2,Friendly,False,Denmark
2006-03-08,Denmark,Ghana,5,1,Friendly,False,Denmark
2006-03-12,Egypt,Nigeria,3,1,Friendly,False,Egypt
2006-03-15,France,Scotland,2,2,Friendly,False,France
2006-03-19,Switzerland,Qatar,2,0,Friendly,False,Switzerland
2006-03-23,Ecuador,Scotland,0,0,FIFA World Cup,True,Neutral
2006-03-27,South Korea,Portugal,2,0,Nations League,False,South Korea
2006-03-31,Netherlands,Norway,2,1,World Cup qualification,False,Netherlands
2006-04-04,Ghana,Mexico,0,5,Copa America,False,Ghana
2006-04-08,USA,Ghana,4,3,World Cup qualification,False,USA
2006-04-12,Colombia,Nigeria,2,1,Friendly,True,Neutral
2006-04-15,Netherlands,USA,3,3,Friendly,False,Netherlands
2006-04-19,Canada,Turkey,0,0,World Cup qualification,False,Canada
2006-04-23,Qatar,Croatia,1,2,Friendly,False,Qatar
2006-04-27,Ukraine,Brazil,0,0,Friendly,False,Ukraine
2006-05-01,Croatia,Colombia,3,0,Nations League,False,Croatia
2006-05-05,Saudi Arabia,Peru,0,0,Friendly,False,Saudi Arabia
2006-05-09,Brazil,Uruguay B,3,0,Nations League,False,Brazil
2006-05-12,Senegal,Canada,2,2,Friendly,False,Senegal
2006-05-16,Algeria,Egypt,1,3,Friendly,False,Algeria
2006-05-20,France,Costa Rica,5,0,FIFA World Cup,False,France
2006-05-24,Mexico,Cameroon,4,1,Friendly,False,Mexico
2006-05-28,Chile,Wales,1,0,Copa America,False,Chile
2006-06-01,Tunisia,Turkey,2,1,Friendly,False,Tunisia
2006-06-05,Scotland,Chile,1,2,Friendly,False,Scotland
2006-06-08,Australia,Japan,2,4,World Cup qualification,False,Australia
2006-06-12,Turkey,USA,0,3,FIFA World Cup,False,Turkey
2006-06-16,Saudi Arabia,Peru,2,1,Friendly,False,Saudi Arabia
2006-06-20,Scotland,South Korea,0,0,Friendly,False,Scotland
2006-06-24,Algeria,Costa Rica,1,0,Friendly,True,Neutral
2006-06-28,Qatar,Argentina,1,3,Friendly,False,Qatar
2006-07-02,Peru,Mexico,2,2,FIFA World Cup,False,Peru
2006-07-05,Turkey,Egypt,4,0,World Cup qualification,False,Turkey
2006-07-09,Argentina,Ghana,2,0,Friendly,True,Neutral
2006-07-13,Ghana,Spain,0,6,Friendly,True,Neutral
2006-07-17,Canada,Algeria,1,1,Friendly,False,Canada
2006-07-21,France,Costa Rica,2,1,Nations League,True,Neutral
2006-07-25,Italy,France,1,2,Copa America,False,Italy
2006-07-29,Wales,Germany,0,4,FIFA World Cup,True,Neutral
2006-08-01,Colombia,Brazil,2,7,FIFA World Cup,False,Colombia
2006-08-05,Canada,Ukraine,0,0,Friendly,False,Canada
2006-08-09,Germany,Denmark,2,0,World Cup qualification,False,Germany
2006-08-13,Serbia,Cameroon,1,0,Copa America,True,Neutral
2006-08-17,Saudi Arabia,Morocco,1,0,Friendly,True,Neutral
2006-08-21,Wales,Tunisia,1,2,World Cup qualification,True,Neutral
2006-08-25,Norway,Uruguay,1,1,FIFA World Cup,True,Neutral
2006-08-29,Brazil,Egypt,1,0,Friendly,False,Brazil
2006-09-01,Ivory Coast,Italy,1,1,World Cup qualification,False,Ivory Coast
2006-09-05,Netherlands,Senegal,1,0,Friendly,False,Netherlands
2006-09-09,Italy,Belgium,1,4,UEFA Euro,False,Italy
2006-09-13,Sweden,Argentina,0,1,Friendly,False,Sweden
2006-09-17,Portugal,Netherlands,0,1,Nations League,False,Portugal
2006-09-21,Iran,Croatia,1,0,FIFA World Cup,False,Iran
2006-09-25,Uruguay,Cameroon,1,2,World Cup qualification,False,Uruguay
2006-09-28,Switzerland,Italy,1,2,Friendly,False,Switzerland
2006-10-02,Portugal,Netherlands,1,2,Friendly,False,Portugal
2006-10-06,Argentina,Norway,1,1,World Cup qualification,True,Neutral
2006-10-10,Panama,Norway,1,1,Friendly,False,Panama
2006-10-14,Australia,France,0,1,World Cup qualification,False,Australia
2006-10-18,Peru,France,0,0,UEFA Euro,False,Peru
2006-10-22,Uruguay,Wales,2,2,Nations League,False,Uruguay
2006-10-25,Ivory Coast,Belgium,2,0,UEFA Euro,False,Ivory Coast
2006-10-29,Ecuador,Chile,3,1,Friendly,False,Ecuador
2006-11-02,Germany,Denmark,2,1,World Cup qualification,False,Germany
2006-11-06,Denmark,Ivory Coast,0,1,World Cup qualification,False,Denmark
2006-11-10,Qatar,South Korea,1,2,Friendly,False,Qatar
2006-11-14,England,Scotland,5,0,UEFA Euro,False,England
2006-11-18,Brazil,Scotland,3,1,Friendly,False,Brazil
2006-11-21,Egypt,Portugal,0,3,Copa America,False,Egypt
2006-11-25,Portugal,Netherlands,1,1,Nations League,True,Neutral
2006-11-29,Costa Rica,Cameroon,2,3,Friendly,False,Costa Rica
2006-12-03,Serbia,Denmark,1,0,Nations League,False,Serbia
2006-12-07,Mexico,Australia,3,1,FIFA World Cup,True,Neutral
2006-12-11,Morocco,Serbia,0,1,Friendly,False,Morocco
2006-12-15,Tunisia,Ivory Coast,2,1,Friendly,True,Neutral
2006-12-18,Costa Rica,Cameroon,2,0,Nations League,False,Costa Rica
2006-12-22,Brazil,Switzerland,2,0,Friendly,False,Brazil
2006-12-26,Croatia,South Korea,2,1,World Cup qualification,True,Neutral
2006-12-30,Uruguay B,Ghana,1,0,World Cup qualification,False,Uruguay B
2007-01-03,South Korea,Ghana,2,1,Friendly,False,South Korea
2007-01-07,Senegal,Ivory Coast,5,0,World Cup qualification,False,Senegal
2007-01-11,France,Ivory Coast,1,0,Friendly,True,Neutral
2007-01-15,Egypt,Brazil,0,1,Friendly,True,Neutral
2007-01-18,Ghana,Senegal,0,4,Friendly,False,Ghana
2007-01-22,Tunisia,Peru,3,0,Friendly,False,Tunisia
2007-01-26,Netherlands,Ukraine,6,1,Nations League,False,Netherlands
2007-01-30,Ivory Coast,Peru,1,1,Copa America,False,Ivory Coast
2007-02-03,South Korea,Iran,1,1,Friendly,False,South Korea
2007-02-07,Costa Rica,Colombia,2,4,World Cup qualification,True,Neutral
2007-02-11,Iran,Argentina,0,6,Friendly,True,Neutral
2007-02-14,Spain,Mexico,2,1,World Cup qualification,False,Spain
2007-02-18,Australia,Uruguay,1,3,World Cup qualification,False,Australia
2007-02-22,Ukraine,Australia,0,1,Friendly,True,Neutral
2007-02-26,Japan,Ivory Coast,3,1,Friendly,False,Japan
2007-03-02,Serbia,Egypt,2,1,World Cup qualification,False,Serbia
2007-03-06,Mexico,Egypt,2,1,Nations League,False,Mexico
2007-03-10,Turkey,Peru,2,1,World Cup qualification,False,Turkey
2007-03-13,Croatia,Serbia,0,1,FIFA World Cup,True,Neutral
2007-03-17,Egypt,Norway,1,1,World Cup qualification,True,Neutral
2007-03-21,Scotland,Tunisia,1,3,Friendly,False,Scotland
2007-03-25,Argentina,Morocco,1,0,Copa America,False,Argentina
2007-03-29,Portugal,Egypt,5,1,World Cup qualification,False,Portugal
2007-04-02,Ecuador,Uruguay B,4,1,Friendly,False,Ecuador
2007-04-06,Egypt,Poland,3,1,World Cup qualification,False,Egypt
2007-04-09,Japan,Costa Rica,5,3,Friendly,False,Japan
