as_of_date,team,average_age,total_caps,coach_tenure_days,fifa_confederation,source_url
2005-06-29,Belgium,27.55,871,766,UEFA,synthetic://sample-data
2005-12-28,Belgium,25.8,846,788,UEFA,synthetic://sample-data
2006-06-28,Belgium,27.68,885,267,UEFA,synthetic://sample-data
2006-12-27,Belgium,26.98,820,76,UEFA,synthetic://sample-data
2007-06-27,Belgium,26.44,859,1068,UEFA,synthetic://sample-data
2007-12-26,Belgium,28.9,838,1403,UEFA,synthetic://sample-data
2008-06-25,Belgium,26.9,793,349,UEFA,synthetic://sample-data
2008-12-24,Belgium,26.12,859,250,UEFA,synthetic://sample-data
2009-06-24,Belgium,24.2,910,836,UEFA,synthetic://sample-data
2009-12-23,Belgium,24.53,840,733,UEFA,synthetic://sample-data
2010-06-23,Belgium,23.08,871,279,UEFA,synthetic://sample-data
2010-12-22,Belgium,22.6,891,253,UEFA,synthetic://sample-data
2011-06-22,Belgium,28.13,875,257,UEFA,synthetic://sample-data
2011-12-21,Belgium,28.67,830,916,UEFA,synthetic://sample-data
2012-06-20,Belgium,23.01,928,542,UEFA,synthetic://sample-data
2012-12-19,Belgium,24.22,867,778,UEFA,synthetic://sample-data
2013-06-19,Belgium,27.88,895,547,UEFA,synthetic://sample-data
2013-12-18,Belgium,26.23,865,1173,UEFA,synthetic://sample-data
2014-06-18,Belgium,25.71,826,132,UEFA,synthetic://sample-data
2014-12-17,Belgium,26.04,793,466,UEFA,synthetic://sample-data
2015-06-17,Belgium,26.39,809,377,UEFA,synthetic://sample-data
2015-12-16,Belgium,27.54,868,2111,UEFA,synthetic://sample-data
2016-06-15,Belgium,28.74,860,617,UEFA,synthetic://sample-data
2016-12-14,Belgium,22.51,817,1323,UEFA,synthetic://sample-data
2017-06-14,Belgium,29.38,878,431,UEFA,synthetic://sample-data
2017-12-13,Belgium,25.21,856,544,UEFA,synthetic://sample-data
2018-06-13,Belgium,29.82,884,636,UEFA,synthetic://sample-data
2018-12-12,Belgium,24.97,845,631,UEFA,synthetic://sample-data
2019-06-12,Belgium,22.09,905,214,UEFA,synthetic://sample-data
2019-12-11,Belgium,22.81,893,871,UEFA,synthetic://sample-data
2020-06-10,Belgium,27.44,847,677,UEFA,synthetic://sample-data
2020-12-09,Belgium,25.21,874,237,UEFA,synthetic://sample-data
2021-06-09,Belgium,25.09,890,797,UEFA,synthetic://sample-data
2021-12-08,Belgium,27.43,926,1075,UEFA,synthetic://sample-data
2022-06-08,Belgium,26.23,824,412,UEFA,synthetic://sample-data
2022-12-07,Belgium,26.68,808,241,UEFA,synthetic://sample-data
2023-06-07,Belgium,23.91,836,528,UEFA,synthetic://sample-data
2023-12-06,Belgium,24.72,789,500,UEFA,synthetic://sample-data
2024-06-05,Belgium,24.97,803,1913,UEFA,synthetic://sample-data
2024-12-04,Belgium,26.7,781,345,UEFA,synthetic://sample-data
2025-06-04,Belgium,25.77,862,588,UEFA,synthetic://sample-data
2025-12-03,Belgium,24.28,850,366,UEFA,synthetic://sample-data
2003-01-01,Brazil,26.63,1182,418,AFC,synthetic://sample-data
2003-07-02,Brazil,25.76,1165,904,AFC,synthetic://sample-data
2003-12-31,Brazil,23.03,1190,167,AFC,synthetic://sample-data
2004-06-30,Brazil,26.4,1197,302,AFC,synthetic://sample-data
2004-12-29,Brazil,27.28,1244,1570,AFC,synthetic://sample-data
2005-06-29,Brazil,28.89,1155,491,AFC,synthetic://sample-data
2005-12-28,Brazil,27.36,1121,1090,AFC,synthetic://sample-data
2006-06-28,Brazil,25.72,1134,454,AFC,synthetic://sample-data
2006-12-27,Brazil,23.59,1152,572,AFC,synthetic://sample-data
2007-06-27,Brazil,29.0,1179,1031,AFC,synthetic://sample-data
2007-12-26,Brazil,24.98,1091,1085,AFC,synthetic://sample-data
2008-06-25,Brazil,30.78,1154,816,AFC,synthetic://sample-data
2008-12-24,Brazil,23.95,1139,356,AFC,synthetic://sample-data
2009-06-24,Brazil,22.84,1177,794,AFC,synthetic://sample-data
2009-12-23,Brazil,23.13,1134,303,AFC,synthetic://sample-data
2010-06-23,Brazil,27.24,1130,2157,AFC,synthetic://sample-data
2010-12-22,Brazil,23.62,1115,714,AFC,synthetic://sample-data
2011-06-22,Brazil,26.19,1205,317,AFC,synthetic://sample-data
2011-12-21,Brazil,24.38,1220,827,AFC,synthetic://sample-data
2012-06-20,Brazil,27.43,1173,369,AFC,synthetic://sample-data
2012-12-19,Brazil,27.56,1169,495,AFC,synthetic://sample-data
2013-06-19,Brazil,28.44,1202,652,AFC,synthetic://sample-data
2013-12-18,Brazil,26.63,1178,1007,AFC,synthetic://sample-data
2014-06-18,Brazil,27.36,1178,401,AFC,synthetic://sample-data
2014-12-17,Brazil,28.1,1230,446,AFC,synthetic://sample-data
2015-06-17,Brazil,22.65,1178,336,AFC,synthetic://sample-data
2015-12-16,Brazil,23.91,1209,245,AFC,synthetic://sample-data
2016-06-15,Brazil,28.29,1159,738,AFC,synthetic://sample-data
2016-12-14,Brazil,23.57,1255,222,AFC,synthetic://sample-data
2017-06-14,Brazil,26.36,1190,1027,AFC,synthetic://sample-data
2017-12-13,Brazil,23.59,1170,111,AFC,synthetic://sample-data
2018-06-13,Brazil,24.79,1188,161,AFC,synthetic://sample-data
2018-12-12,Brazil,26.89,1201,477,AFC,synthetic://sample-data
2019-06-12,Brazil,24.99,1155,394,AFC,synthetic://sample-data
2019-12-11,Brazil,27.28,1120,444,AFC,synthetic://sample-data
2020-06-10,Brazil,26.28,1251,1155,AFC,synthetic://sample-data
2020-12-09,Brazil,26.72,1172,293,AFC,synthetic://sample-data
2021-06-09,Brazil,28.0,1121,1174,AFC,synthetic://sample-data
2021-12-08,Brazil,26.13,1216,658,AFC,synthetic://sample-data
2022-06-08,Brazil,22.33,1150,1344,AFC,synthetic://sample-data
2022-12-07,Brazil,25.44,1231,564,AFC,synthetic://sample-data
2023-06-07,Brazil,25.05,1229,1110,AFC,synthetic://sample-data
2023-12-06,Brazil,27.51,1173,2008,AFC,synthetic://sample-data
2024-06-05,Brazil,28.22,1194,1100,AFC,synthetic://sample-data
2024-12-04,Brazil,26.31,1163,495,AFC,synthetic://sample-data
2025-06-04,Brazil,27.54,1202,1300,AFC,synthetic://sample-data
2025-12-03,Brazil,26.51,1106,390,AFC,synthetic://sample-data
2003-01-01,Cameroon,26.12,453,448,CAF,synthetic://sample-data
2003-07-02,Cameroon,25.26,447,401,CAF,synthetic://sample-data
2003-12-31,Cameroon,25.01,439,350,CAF,synthetic://sample-data
2004-06-30,Cameroon,28.38,420,1070,CAF,synthetic://sample-data
2004-12-29,Cameroon,25.97,449,328,CAF,synthetic://sample-data
2005-06-29,Cameroon,27.42,454,173,CAF,synthetic://sample-data
2005-12-28,Cameroon,24.85,484,791,CAF,synthetic://sample-data
2006-06-28,Cameroon,27.99,460,360,CAF,synthetic://sample-data
2006-12-27,Cameroon,27.75,386,1124,CAF,synthetic://sample-data
2007-06-27,Cameroon,24.8,488,960,CAF,synthetic://sample-data
2007-12-26,Cameroon,23.3,435,560,CAF,synthetic://sample-data
2008-06-25,Cameroon,24.91,456,583,CAF,synthetic://sample-data
2008-12-24,Cameroon,24.94,436,567,CAF,synthetic://sample-data
2009-06-24,Cameroon,23.2,448,777,CAF,synthetic://sample-data
2009-12-23,Cameroon,25.06,477,406,CAF,synthetic://sample-data
2010-06-23,Cameroon,25.76,450,515,CAF,synthetic://sample-data
2010-12-22,Cameroon,26.34,398,863,CAF,synthetic://sample-data
2011-06-22,Cameroon,25.69,479,516,CAF,synthetic://sample-data
2011-12-21,Cameroon,29.06,496,1270,CAF,synthetic://sample-data
2012-06-20,Cameroon,26.94,454,210,CAF,synthetic://sample-data
2012-12-19,Cameroon,24.52,485,1975,CAF,synthetic://sample-data
2013-06-19,Cameroon,28.31,440,1251,CAF,synthetic://sample-data
2013-12-18,Cameroon,25.63,444,1101,CAF,synthetic://sample-data
2014-06-18,Cameroon,26.59,410,964,CAF,synthetic://sample-data
2014-12-17,Cameroon,24.38,426,280,CAF,synthetic://sample-data
2015-06-17,Cameroon,29.16,412,561,CAF,synthetic://sample-data
2015-12-16,Cameroon,24.52,433,626,CAF,synthetic://sample-data
2016-06-15,Cameroon,25.87,421,1301,CAF,synthetic://sample-data
2016-12-14,Cameroon,25.01,437,437,CAF,synthetic://sample-data
2017-06-14,Cameroon,24.84,472,995,CAF,synthetic://sample-data
2017-12-13,Cameroon,26.66,426,1171,CAF,synthetic://sample-data
2018-06-13,Cameroon,26.91,459,311,CAF,synthetic://sample-data
2018-12-12,Cameroon,24.63,409,382,CAF,synthetic://sample-data
2019-06-12,Cameroon,25.84,427,1457,CAF,synthetic://sample-data
2019-12-11,Cameroon,27.71,472,335,CAF,synthetic://sample-data
2020-06-10,Cameroon,28.39,458,776,CAF,synthetic://sample-data
2020-12-09,Cameroon,27.15,428,1115,CAF,synthetic://sample-data
2021-06-09,Cameroon,25.34,394,1110,CAF,synthetic://sample-data
2021-12-08,Cameroon,24.41,497,671,CAF,synthetic://sample-data
2022-06-08,Cameroon,27.73,405,134,CAF,synthetic://sample-data
2022-12-07,Cameroon,25.62,380,1914,CAF,synthetic://sample-data
2023-06-07,Cameroon,26.37,439,700,CAF,synthetic://sample-data
2023-12-06,Cameroon,25.49,487,489,CAF,synthetic://sample-data
2024-06-05,Cameroon,25.61,513,1150,CAF,synthetic://sample-data
2024-12-04,Cameroon,27.43,459,714,CAF,synthetic://sample-data
2025-06-04,Cameroon,26.43,544,609,CAF,synthetic://sample-data
2025-12-03,Cameroon,23.27,423,754,CAF,synthetic://sample-data
2003-01-01,Canada,27.03,518,307,CONCACAF,synthetic://sample-data
2003-07-02,Canada,27.26,430,1743,CONCACAF,synthetic://sample-data
2003-12-31,Canada,24.84,482,1206,CONCACAF,synthetic://sample-data
2004-06-30,Canada,30.23,461,613,CONCACAF,synthetic://sample-data
2004-12-29,Canada,25.8,424,412,CONCACAF,synthetic://sample-data
2005-06-29,Canada,21.7,456,758,CONCACAF,synthetic://sample-data
2005-12-28,Canada,27.63,340,424,CONCACAF,synthetic://sample-data
2006-06-28,Canada,25.36,466,1162,CONCACAF,synthetic://sample-data
2006-12-27,Canada,26.24,498,465,CONCACAF,synthetic://sample-data
2007-06-27,Canada,24.84,414,448,CONCACAF,synthetic://sample-data
2007-12-26,Canada,23.01,495,836,CONCACAF,synthetic://sample-data
2008-06-25,Canada,26.67,402,1213,CONCACAF,synthetic://sample-data
2008-12-24,Canada,23.79,467,106,CONCACAF,synthetic://sample-data
2009-06-24,Canada,24.45,476,329,CONCACAF,synthetic://sample-data
2009-12-23,Canada,26.69,461,701,CONCACAF,synthetic://sample-data
2010-06-23,Canada,27.26,468,86,CONCACAF,synthetic://sample-data
2010-12-22,Canada,25.02,429,537,CONCACAF,synthetic://sample-data
2011-06-22,Canada,27.04,389,436,CONCACAF,synthetic://sample-data
2011-12-21,Canada,23.99,448,396,CONCACAF,synthetic://sample-data
2012-06-20,Canada,25.63,438,494,CONCACAF,synthetic://sample-data
2012-12-19,Canada,28.3,453,633,CONCACAF,synthetic://sample-data
2013-06-19,Canada,26.52,438,670,CONCACAF,synthetic://sample-data
2013-12-18,Canada,24.53,506,339,CONCACAF,synthetic://sample-data
2014-06-18,Canada,26.87,398,503,CONCACAF,synthetic://sample-data
2014-12-17,Canada,25.88,469,312,CONCACAF,synthetic://sample-data
2015-06-17,Canada,23.8,492,634,CONCACAF,synthetic://sample-data
2015-12-16,Canada,26.3,399,1432,CONCACAF,synthetic://sample-data
2016-06-15,Canada,27.37,399,93,CONCACAF,synthetic://sample-data
2016-12-14,Canada,24.33,475,882,CONCACAF,synthetic://sample-data
2017-06-14,Canada,23.33,464,909,CONCACAF,synthetic://sample-data
2017-12-13,Canada,24.58,393,444,CONCACAF,synthetic://sample-data
2018-06-13,Canada,23.98,413,2095,CONCACAF,synthetic://sample-data
2018-12-12,Canada,23.45,498,140,CONCACAF,synthetic://sample-data
2019-06-12,Canada,23.98,401,415,CONCACAF,synthetic://sample-data
2019-12-11,Canada,28.07,373,432,CONCACAF,synthetic://sample-data
2020-06-10,Canada,26.95,468,228,CONCACAF,synthetic://sample-data
2020-12-09,Canada,24.5,465,426,CONCACAF,synthetic://sample-data
2021-06-09,Canada,24.68,412,612,CONCACAF,synthetic://sample-data
2021-12-08,Canada,22.73,412,726,CONCACAF,synthetic://sample-data
2022-06-08,Canada,26.67,452,585,CONCACAF,synthetic://sample-data
2022-12-07,Canada,29.24,445,487,CONCACAF,synthetic://sample-data
2023-06-07,Canada,23.1,410,124,CONCACAF,synthetic://sample-data
2023-12-06,Canada,26.13,426,488,CONCACAF,synthetic://sample-data
2024-06-05,Canada,24.68,427,219,CONCACAF,synthetic://sample-data
2024-12-04,Canada,25.36,497,387,CONCACAF,synthetic://sample-data
2025-06-04,Canada,26.61,393,891,CONCACAF,synthetic://sample-data
2025-12-03,Canada,27.76,471,480,CONCACAF,synthetic://sample-data
2003-01-01,Chile,26.73,544,111,CONMEBOL,synthetic://sample-data
2003-07-02,Chile,22.73,512,579,CONMEBOL,synthetic://sample-data
2003-12-31,Chile,26.12,456,429,CONMEBOL,synthetic://sample-data
2004-06-30,Chile,27.97,460,476,CONMEBOL,synthetic://sample-data
2004-12-29,Chile,26.7,552,933,CONMEBOL,synthetic://sample-data
2005-06-29,Chile,25.05,510,1470,CONMEBOL,synthetic://sample-data
2005-12-28,Chile,26.2,520,667,CONMEBOL,synthetic://sample-data
2006-06-28,Chile,23.94,497,483,CONMEBOL,synthetic://sample-data
2006-12-27,Chile,27.26,517,908,CONMEBOL,synthetic://sample-data
2007-06-27,Chile,21.5,497,965,CONMEBOL,synthetic://sample-data
2007-12-26,Chile,21.33,496,357,CONMEBOL,synthetic://sample-data
2008-06-25,Chile,24.7,512,386,CONMEBOL,synthetic://sample-data
2008-12-24,Chile,27.66,524,518,CONMEBOL,synthetic://sample-data
2009-06-24,Chile,24.39,494,743,CONMEBOL,synthetic://sample-data
