team,group,prob_champion_seed_2026,prob_reach_final_seed_2026,prob_reach_sf_seed_2026,prob_champion_seed_2027,prob_reach_final_seed_2027,prob_reach_sf_seed_2027,delta_prob_champion,delta_prob_reach_final,delta_prob_reach_sf
Australia,C,0.0,0.0,0.0005,0.0,0.0001,0.0009,0.0,0.0001,0.00039999999999999996
Tunisia,D,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0,-0.0001
Poland,C,0.0,0.0001,0.002,0.0,0.0002,0.0011,0.0,0.0001,-0.0009
Panama,K,0.0,0.0,0.0006,0.0,0.0001,0.0008,0.0,0.0001,0.0002000000000000001
Peru,D,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0
Cameroon,G,0.0,0.0,0.001,0.0,0.0,0.0003,0.0,0.0,-0.0007000000000000001
Saudi Arabia,F,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0
Wales,B,0.0001,0.0007,0.0042,0.0001,0.0004,0.006,0.0,-0.0003,0.0018000000000000004
Ghana,H,0.0,0.0,0.0006,0.0,0.0,0.0004,0.0,0.0,-0.00019999999999999993
Iran,H,0.0,0.0003,0.0015,0.0,0.0,0.002,0.0,-0.0003,0.0005
Qatar,I,0.0,0.0,0.0005,0.0,0.0,0.0007,0.0,0.0,0.00019999999999999998
Scotland,L,0.0001,0.0007,0.0037,0.0001,0.0009,0.0048,0.0,0.00019999999999999998,0.0010999999999999994
Chile,I,0.0001,0.0016,0.0085,0.0001,0.0009,0.0061,0.0,-0.0007000000000000001,-0.0024000000000000002
Switzerland,G,0.007,0.0316,0.0819,0.007,0.0311,0.0822,0.0,-0.0005000000000000039,0.0002999999999999947
Algeria,J,0.0001,0.0001,0.0003,0.0001,0.0001,0.0009,0.0,0.0,0.0006000000000000001
Ukraine,J,0.0002,0.0018,0.0128,0.0002,0.0024,0.0134,0.0,0.0005999999999999998,0.0005999999999999998
Ivory Coast,K,0.0002,0.0012,0.0062,0.0002,0.0009,0.0071,0.0,-0.0002999999999999999,0.0009000000000000006
Ecuador,C,0.0,0.0005,0.0041,0.0,0.0005,0.0033,0.0,0.0,-0.0008000000000000004
